Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469916000.0 1.0 47 69 115 NA NA NA NA 90 111 167 NA NA NA NA 3391 543 702 NA NA NA NA 3442 565 737 NA NA NA NA
1469916000.0 10.0 NA 76 165 0 NA NA NA NA 119 223 0 NA NA NA NA 3663 4469 1066 NA NA NA NA 3786 4531 1100 NA NA NA
1469916000.0 1000.0 NA 171 101 0 42 NA NA NA 231 152 0 77 NA NA NA 3977 1039 851 315 NA NA NA 4068 1165 1081 338 NA NA
1469916000.0 1001.0 NA 161 105 0 0 0 0 NA 219 145 0 0 0 0 NA 3161 539 127 129 459 105 NA 3306 615 137 139 501 117
1469916000.0 1002.0 NA 182 57 NA NA NA NA NA 249 93 NA NA NA NA NA 4156 328 NA NA NA NA NA 4260 338 NA NA NA NA
1469916000.0 1003.0 NA 154 0 NA NA NA NA NA 219 0 NA NA NA NA NA 4824 851 NA NA NA NA NA 4998 876 NA NA NA NA
1469916000.0 101.0 77 NA NA NA NA NA NA 129 NA NA NA NA NA NA 1763 NA NA NA NA NA NA 1787 NA NA NA NA NA NA
1469916000.0 102.0 75 NA NA NA NA NA NA 130 NA NA NA NA NA NA 1322 NA NA NA NA NA NA 1352 NA NA NA NA NA NA
1469916000.0 103.0 43 72 166 NA NA NA NA 85 114 225 NA NA NA NA 1427 325 796 NA NA NA NA 1454 357 834 NA NA NA NA
1469916000.0 105.0 47 72 18 NA NA NA NA 90 116 53 NA NA NA NA 2825 477 4 NA NA NA NA 2858 506 10 NA NA NA NA
1469916000.0 106.0 39 0 0 NA NA NA NA 77 0 0 NA NA NA NA 1045 61 347 NA NA NA NA 1058 73 364 NA NA NA NA
1469916000.0 107.0 49 81 164 NA NA NA NA 92 115 225 NA NA NA NA 5416 567 967 NA NA NA NA 5633 592 1005 NA NA NA NA
1469916000.0 108.0 52 76 168 NA NA NA NA 94 117 225 NA NA NA NA 8345 606 1342 NA NA NA NA 8466 632 1387 NA NA NA NA
1469916000.0 109.0 52 75 172 NA NA NA NA 95 119 225 NA NA NA NA 7781 351 683 NA NA NA NA 7881 359 701 NA NA NA NA
1469916000.0 11.0 NA 66 169 0 38 NA NA NA 117 228 0 76 NA NA NA 2358 1702 1074 59 NA NA NA 2501 1816 1097 68 NA NA
1469916000.0 110.0 40 78 161 NA NA NA NA 78 114 216 NA NA NA NA 1204 542 947 NA NA NA NA 1233 560 985 NA NA NA NA
1469916000.0 1102.0 NA 75 165 107 59 NA NA NA 119 225 151 100 NA NA NA 2019 3245 1835 197 NA NA NA 2056 3280 1866 208 NA NA
1469916000.0 111.0 48 74 164 NA NA NA NA 91 115 225 NA NA NA NA 3463 453 965 NA NA NA NA 3546 476 1006 NA NA NA NA
1469916000.0 112.0 49 75 164 NA NA NA NA 92 118 225 NA NA NA NA 4835 543 929 NA NA NA NA 4911 566 969 NA NA NA NA
1469916000.0 113.0 50 83 162 NA NA NA NA 92 116 225 NA NA NA NA 5629 595 1203 NA NA NA NA 5704 629 1305 NA NA NA NA
1469916000.0 114.0 49 72 162 NA NA NA NA 92 117 225 NA NA NA NA 4748 541 922 NA NA NA NA 4827 573 974 NA NA NA NA
1469916000.0 115.0 50 73 165 NA NA NA NA 93 117 225 NA NA NA NA 6746 631 1117 NA NA NA NA 6893 1861 1177 NA NA NA NA
1469916000.0 116.0 50 76 167 NA NA NA NA 93 117 225 NA NA NA NA 6463 623 1141 NA NA NA NA 6672 650 1175 NA NA NA NA
1469916000.0 117.0 52 83 167 NA NA NA NA 94 118 225 NA NA NA NA 9251 648 1319 NA NA NA NA 9510 680 1371 NA NA NA NA
1469916000.0 118.0 50 83 166 NA NA NA NA 93 117 225 NA NA NA NA 6822 633 1212 NA NA NA NA 7006 700 1261 NA NA NA NA
1469916000.0 119.0 49 72 167 NA NA NA NA 92 116 225 NA NA NA NA 4957 490 642 NA NA NA NA 5021 509 656 NA NA NA NA
1469916000.0 12.0 NA 67 165 0 NA NA NA NA 117 225 0 NA NA NA NA 3223 4382 966 NA NA NA NA 3303 4443 982 NA NA NA
1469916000.0 120.0 41 76 161 NA NA NA NA 82 112 224 NA NA NA NA 1078 530 833 NA NA NA NA 1092 558 869 NA NA NA NA
1469916000.0 121.0 50 84 165 NA NA NA NA 93 118 225 NA NA NA NA 8464 612 1425 NA NA NA NA 8660 651 1488 NA NA NA NA
1469916000.0 122.0 46 73 164 NA NA NA NA 90 115 225 NA NA NA NA 2154 412 952 NA NA NA NA 2199 437 994 NA NA NA NA
1469916000.0 123.1 154 NA NA NA NA NA NA 207 NA NA NA NA NA NA 860 NA NA NA NA NA NA 886 NA NA NA NA NA NA
1469916000.0 123.2 151 NA NA NA NA NA NA 208 NA NA NA NA NA NA 1187 NA NA NA NA NA NA 1229 NA NA NA NA NA NA
1469916000.0 123.3 141 NA NA NA NA NA NA 196 NA NA NA NA NA NA 579 NA NA NA NA NA NA 603 NA NA NA NA NA NA
1469916000.0 124.1 147 NA NA NA NA NA NA 203 NA NA NA NA NA NA 577 NA NA NA NA NA NA 612 NA NA NA NA NA NA
1469916000.0 124.2 151 NA NA NA NA NA NA 207 NA NA NA NA NA NA 840 NA NA NA NA NA NA 873 NA NA NA NA NA NA
1469916000.0 124.4 148 NA NA NA NA NA NA 204 NA NA NA NA NA NA 581 NA NA NA NA NA NA 608 NA NA NA NA NA NA
1469916000.0 124.5 147 NA NA NA NA NA NA 203 NA NA NA NA NA NA 605 NA NA NA NA NA NA 636 NA NA NA NA NA NA
1469916000.0 124.6 141 NA NA NA NA NA NA 196 NA NA NA NA NA NA 595 NA NA NA NA NA NA 619 NA NA NA NA NA NA
1469916000.0 125.0 50 73 168 NA NA NA NA 93 118 225 NA NA NA NA 5992 338 616 NA NA NA NA 6080 347 629 NA NA NA NA
1469916000.0 126.0 40 75 161 NA NA NA NA 83 112 217 NA NA NA NA 2083 528 956 NA NA NA NA 2110 555 988 NA NA NA NA
1469916000.0 127.0 42 71 160 NA NA NA NA 83 112 225 NA NA NA NA 2454 541 855 NA NA NA NA 2490 582 903 NA NA NA NA
1469916000.0 128.0 40 80 159 NA NA NA NA 77 113 224 NA NA NA NA 1032 542 847 NA NA NA NA 1051 565 873 NA NA NA NA
1469916000.0 129.0 40 69 159 NA NA NA NA 82 112 224 NA NA NA NA 872 452 727 NA NA NA NA 897 476 772 NA NA NA NA
1469916000.0 13.0 NA 71 165 0 NA NA NA NA 118 225 0 NA NA NA NA 402 1894 925 NA NA NA NA 430 1937 961 NA NA NA
1469916000.0 130.0 40 69 162 NA NA NA NA 78 112 225 NA NA NA NA 1224 528 839 NA NA NA NA 1250 557 879 NA NA NA NA
