Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470560400.0 10224.0 NA 141 283 0 NA NA 205 386 0 NA NA 3673 5356 908 NA NA 7966 8795 962 NA
1470560400.0 10626.0 84 77 150 0 NA 131 127 199 0 NA 15854 1628 1528 666 NA 16266 1886 1659 699 NA
1470560400.0 10824.0 96 NA NA NA NA 143 NA NA NA NA 22924 NA NA NA NA 30064 NA NA NA NA
1470560400.0 11024.0 94 202 82 NA NA 143 254 125 NA NA 19621 5430 2118 NA NA 20997 5646 2166 NA NA
1470560400.0 11025.0 94 202 81 NA NA 142 253 124 NA NA 16016 4278 2249 NA NA 16266 4493 2382 NA NA
1470560400.0 11226.0 87 78 151 0 NA 135 133 200 0 NA 16054 1688 1500 672 NA 16360 1886 1620 702 NA
1470560400.0 134.703 NA 40 215 0 NA NA 87 289 0 NA NA 133 4367 591 NA NA 306 6368 721 NA
1470560400.0 134.704 NA 36 224 0 NA NA 82 279 0 NA NA 139 4181 594 NA NA 222 6188 711 NA
1470560400.0 134.807 NA 81 237 0 NA NA 144 300 0 NA NA 1183 14160 1431 NA NA 1235 21246 1495 NA
1470560400.0 135.11 233 0 103 NA NA 315 0 159 NA NA 1402 365 323 NA NA 2742 1145 463 NA NA
1470560400.0 135.5 218 0 98 NA NA 299 0 159 NA NA 905 342 244 NA NA 2336 968 315 NA NA
1470560400.0 1356.0 57 154 238 0 99 104 213 318 0 164 10444 1212 1955 3656 550 10644 1336 2940 3786 625
1470560400.0 136.721 NA 161 243 0 NA NA 223 299 0 NA NA 5252 12040 2529 NA NA 5454 12428 2650 NA
1470560400.0 136.727 NA 192 250 0 NA NA 278 314 0 NA NA 5966 12724 2352 NA NA 6175 13200 2454 NA
1470560400.0 136.73 NA 163 254 0 NA NA 225 331 0 NA NA 5675 13470 2288 NA NA 5893 13887 2372 NA
1470560400.0 136.732 NA 155 236 0 NA NA 222 293 0 NA NA 1656 4737 1160 NA NA 2508 6566 3200 NA
1470560400.0 136.734 NA 164 238 0 NA NA 227 303 0 NA NA 5857 13400 2332 NA NA 5992 13896 2408 NA
1470560400.0 1362.0 57 155 238 0 NA 156 213 317 0 NA 9299 1077 2070 3433 NA 13447 1754 2245 3477 NA
1470560400.0 13992501.0 NA 203 307 0 NA NA 274 405 0 NA NA 4936 6815 3592 NA NA 8140 10045 3717 NA
1470560400.0 25203.0 NA 207 306 0 NA NA 283 402 0 NA NA 4736 5396 3782 NA NA 8987 8941 3911 NA
1470560400.0 25406.0 264 0 101 NA NA 356 0 159 NA NA 1906 363 274 NA NA 4602 413 341 NA NA
1470560400.0 280.0 88 80 187 0 NA 167 142 254 0 NA 10847 845 1271 1354 NA 11411 944 8579 1399 NA
1470560400.0 301.0 68 178 246 0 NA 118 249 332 0 NA 2624 689 883 219 NA 3115 1646 2501 572 NA
1470560400.0 36.0 NA 82 202 0 NA NA 153 263 0 NA NA 3634 15031 1399 NA NA 3728 15381 1452 NA
1470560400.0 37.0 NA 84 195 0 NA NA 151 260 0 NA NA 2040 2328 619 NA NA 2138 4238 883 NA
1470560400.0 4.52 NA 30 222 0 NA NA 79 277 0 NA NA 301 13487 1287 NA NA 373 20287 1364 NA
1470560400.0 4.53 NA 41 216 0 NA NA 78 273 0 NA NA 131 4804 579 NA NA 166 6597 615 NA
1470560400.0 4.61 NA 35 210 0 NA NA 78 277 0 NA NA 128 4919 579 NA NA 273 6493 690 NA
1470560400.0 4.67 NA 60 225 0 NA NA 95 282 0 NA NA 279 15594 1252 NA NA 329 21987 1310 NA
1470560400.0 4.73 NA 37 217 0 NA NA 81 277 0 NA NA 137 5302 549 NA NA 270 6812 737 NA
1470560400.0 500200.0 NA 120 237 0 NA NA 204 307 0 NA NA 8701 3614 1345 NA NA 10150 10996 1378 NA
1470560400.0 500203.0 NA 119 239 0 NA NA 202 304 0 NA NA 9035 3409 1327 NA NA 10759 10852 1369 NA
1470560400.0 50207.0 NA 98 257 0 NA NA 160 336 0 NA NA 1126 1732 568 NA NA 2624 5460 592 NA
