Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469311200.0 1.0 76 70 130 NA NA NA NA NA 141 144 188 NA NA NA NA NA 1701 275 266 NA NA NA NA NA 784 215 246 NA NA NA NA NA
1469311200.0 10.0 NA 93 357 0 NA NA NA NA NA 161 422 0 NA NA NA NA NA 2153 2417 449 NA NA NA NA NA 863 1179 466 NA NA NA NA
1469311200.0 1000.0 NA 322 116 0 46 NA NA NA NA 398 184 0 82 NA NA NA NA 2137 460 271 130 NA NA NA NA 1019 537 293 156 NA NA NA
1469311200.0 1001.0 NA 297 200 0 0 0 0 0 NA 358 234 0 0 0 0 0 NA 2199 504 5 28 451 65 404 NA 1251 621 19 39 459 77 411
1469311200.0 1002.0 NA 328 64 NA NA NA NA NA NA 398 104 NA NA NA NA NA NA 2580 169 NA NA NA NA NA NA 1577 163 NA NA NA NA NA
1469311200.0 1003.0 NA 269 0 NA NA NA NA NA NA 340 0 NA NA NA NA NA NA 3450 274 NA NA NA NA NA NA 1542 293 NA NA NA NA NA
1469311200.0 1004.0 NA 355 135 0 0 0 0 NA NA 416 170 0 0 0 0 NA NA 780 171 6 28 417 374 NA NA 768 183 11 36 425 381 NA
1469311200.0 101.0 99 NA NA NA NA NA NA NA 163 NA NA NA NA NA NA NA 470 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA
1469311200.0 102.0 98 NA NA NA NA NA NA NA 162 NA NA NA NA NA NA NA 429 NA NA NA NA NA NA NA 453 NA NA NA NA NA NA NA
1469311200.0 103.0 51 82 341 NA NA NA NA NA 100 152 403 NA NA NA NA NA 2769 259 629 NA NA NA NA NA 2377 807 841 NA NA NA NA NA
1469311200.0 105.0 74 78 25 NA NA NA NA NA 141 152 57 NA NA NA NA NA 1718 303 2 NA NA NA NA NA 749 225 9 NA NA NA NA NA
1469311200.0 106.0 37 0 0 NA NA NA NA NA 80 0 0 NA NA NA NA NA 321 108 268 NA NA NA NA NA 328 117 288 NA NA NA NA NA
1469311200.0 107.0 86 84 348 NA NA NA NA NA 150 152 412 NA NA NA NA NA 4486 441 751 NA NA NA NA NA 1579 337 750 NA NA NA NA NA
1469311200.0 108.0 86 85 354 NA NA NA NA NA 151 152 422 NA NA NA NA NA 6318 457 887 NA NA NA NA NA 2372 342 787 NA NA NA NA NA
1469311200.0 109.0 90 87 350 NA NA NA NA NA 151 152 417 NA NA NA NA NA 5609 453 804 NA NA NA NA NA 1849 344 736 NA NA NA NA NA
1469311200.0 11.0 NA 89 391 0 61 NA NA NA NA 161 457 0 95 NA NA NA NA 1765 1168 452 45 NA NA NA NA 694 914 470 54 NA NA NA
1469311200.0 110.0 59 79 340 NA NA NA NA NA 110 152 404 NA NA NA NA NA 958 291 468 NA NA NA NA NA 505 217 441 NA NA NA NA NA
1469311200.0 1102.0 NA 100 365 112 61 NA NA NA NA 162 426 176 110 NA NA NA NA 1721 2816 2198 135 NA NA NA NA 650 1075 845 89 NA NA NA
1469311200.0 111.0 79 83 344 NA NA NA NA NA 144 152 409 NA NA NA NA NA 2381 355 641 NA NA NA NA NA 1080 312 686 NA NA NA NA NA
1469311200.0 112.0 86 89 345 NA NA NA NA NA 149 152 409 NA NA NA NA NA 3888 458 695 NA NA NA NA NA 1508 352 709 NA NA NA NA NA
1469311200.0 113.0 86 81 344 NA NA NA NA NA 149 152 410 NA NA NA NA NA 4105 456 692 NA NA NA NA NA 1408 334 706 NA NA NA NA NA
1469311200.0 114.0 85 94 358 NA NA NA NA NA 153 152 426 NA NA NA NA NA 4453 470 737 NA NA NA NA NA 1643 398 787 NA NA NA NA NA
1469311200.0 115.0 90 91 347 NA NA NA NA NA 151 152 411 NA NA NA NA NA 4934 433 738 NA NA NA NA NA 1699 402 744 NA NA NA NA NA
1469311200.0 116.0 88 85 361 NA NA NA NA NA 151 152 426 NA NA NA NA NA 5950 472 798 NA NA NA NA NA 2197 362 781 NA NA NA NA NA
1469311200.0 117.0 82 92 353 NA NA NA NA NA 146 152 420 NA NA NA NA NA 5955 438 818 NA NA NA NA NA 1955 327 768 NA NA NA NA NA
1469311200.0 118.0 82 86 352 NA NA NA NA NA 152 152 420 NA NA NA NA NA 5183 381 647 NA NA NA NA NA 1772 260 501 NA NA NA NA NA
1469311200.0 119.0 89 85 353 NA NA NA NA NA 152 152 420 NA NA NA NA NA 4696 450 737 NA NA NA NA NA 1643 359 773 NA NA NA NA NA
1469311200.0 12.0 NA 91 356 0 NA NA NA NA NA 161 421 0 NA NA NA NA NA 1993 2589 491 NA NA NA NA NA 1229 1521 519 NA NA NA NA
1469311200.0 120.0 58 85 337 NA NA NA NA NA 109 152 403 NA NA NA NA NA 745 299 453 NA NA NA NA NA 427 219 447 NA NA NA NA NA
1469311200.0 121.0 88 93 357 NA NA NA NA NA 150 152 418 NA NA NA NA NA 5646 446 830 NA NA NA NA NA 2176 1511 928 NA NA NA NA NA
1469311200.0 122.0 52 83 342 NA NA NA NA NA 100 152 403 NA NA NA NA NA 1423 261 567 NA NA NA NA NA 1021 301 834 NA NA NA NA NA
1469311200.0 123.1 311 NA NA NA NA NA NA NA 404 NA NA NA NA NA NA NA 533 NA NA NA NA NA NA NA 403 NA NA NA NA NA NA NA
1469311200.0 123.2 314 NA NA NA NA NA NA NA 407 NA NA NA NA NA NA NA 598 NA NA NA NA NA NA NA 409 NA NA NA NA NA NA NA
1469311200.0 123.3 268 NA NA NA NA NA NA NA 347 NA NA NA NA NA NA NA 372 NA NA NA NA NA NA NA 355 NA NA NA NA NA NA NA
1469311200.0 124.1 299 NA NA NA NA NA NA NA 378 NA NA NA NA NA NA NA 390 NA NA NA NA NA NA NA 355 NA NA NA NA NA NA NA
1469311200.0 124.2 308 NA NA NA NA NA NA NA 403 NA NA NA NA NA NA NA 467 NA NA NA NA NA NA NA 428 NA NA NA NA NA NA NA
1469311200.0 124.4 296 NA NA NA NA NA NA NA 377 NA NA NA NA NA NA NA 396 NA NA NA NA NA NA NA 359 NA NA NA NA NA NA NA
1469311200.0 124.5 296 NA NA NA NA NA NA NA 375 NA NA NA NA NA NA NA 408 NA NA NA NA NA NA NA 363 NA NA NA NA NA NA NA
1469311200.0 124.6 271 NA NA NA NA NA NA NA 347 NA NA NA NA NA NA NA 384 NA NA NA NA NA NA NA 353 NA NA NA NA NA NA NA
1469311200.0 125.0 85 91 355 NA NA NA NA NA 150 152 422 NA NA NA NA NA 4717 440 682 NA NA NA NA NA 1576 364 705 NA NA NA NA NA
1469311200.0 126.0 68 80 347 NA NA NA NA NA 111 152 404 NA NA NA NA NA 1691 403 637 NA NA NA NA NA 814 358 836 NA NA NA NA NA
1469311200.0 127.0 70 80 339 NA NA NA NA NA 116 152 403 NA NA NA NA NA 1763 383 618 NA NA NA NA NA 774 308 692 NA NA NA NA NA
1469311200.0 128.0 56 77 340 NA NA NA NA NA 104 152 406 NA NA NA NA NA 714 315 451 NA NA NA NA NA 419 239 430 NA NA NA NA NA
1469311200.0 129.0 56 76 335 NA NA NA NA NA 105 152 403 NA NA NA NA NA 768 286 461 NA NA NA NA NA 434 220 439 NA NA NA NA NA
1469311200.0 13.0 NA 86 352 0 NA NA NA NA NA 161 415 0 NA NA NA NA NA 354 1139 389 NA NA NA NA NA 1624 922 412 NA NA NA NA
1469311200.0 130.0 61 82 336 NA NA NA NA NA 115 152 403 NA NA NA NA NA 906 305 485 NA NA NA NA NA 471 248 457 NA NA NA NA NA
1469311200.0 1301.0 82 165 179 NA NA NA NA NA 147 239 250 NA NA NA NA NA 2076 507 573 NA NA NA NA NA 1035 938 739 NA NA NA NA NA
1469311200.0 1302.0 100 182 189 NA NA NA NA NA 163 239 260 NA NA NA NA NA 5756 563 612 NA NA NA NA NA 2145 376 505 NA NA NA NA NA
1469311200.0 1303.0 103 181 197 NA NA NA NA NA 171 239 267 NA NA NA NA NA 9020 540 1037 NA NA NA NA NA 3024 557 588 NA NA NA NA NA
1469311200.0 131.0 72 86 341 NA NA NA NA NA 118 152 404 NA NA NA NA NA 2014 418 643 NA NA NA NA NA 933 342 761 NA NA NA NA NA
1469311200.0 1311.0 NA 186 423 0 65 NA NA NA NA 252 486 0 104 NA NA NA NA 600 1530 1050 85 NA NA NA NA 458 1487 1059 110 NA NA NA
1469311200.0 132.0 85 85 358 NA NA NA NA NA 144 152 430 NA NA NA NA NA 5762 476 951 NA NA NA NA NA 2076 343 808 NA NA NA NA NA
1469311200.0 133.0 88 87 352 NA NA NA NA NA 155 152 425 NA NA NA NA NA 5628 389 906 NA NA NA NA NA 1816 264 672 NA NA NA NA NA
1469311200.0 134.0 NA 334 39 0 NA NA NA NA NA 405 73 0 NA NA NA NA NA 2892 10 8 NA NA NA NA NA 1492 27 65 NA NA NA NA
1469311200.0 134.701 NA 40 367 0 NA NA NA NA NA 89 431 0 NA NA NA NA NA 123 4950 285 NA NA NA NA NA 147 2130 295 NA NA NA NA
1469311200.0 134.702 NA 44 357 0 NA NA NA NA NA 86 429 0 NA NA NA NA NA 131 4571 272 NA NA NA NA NA 200 1613 280 NA NA NA NA
1469311200.0 134.705 NA 46 365 0 NA NA NA NA NA 87 439 0 NA NA NA NA NA 160 5113 276 NA NA NA NA NA 176 1830 283 NA NA NA NA
1469311200.0 134.706 NA 43 363 0 NA NA NA NA NA 89 437 0 NA NA NA NA NA 132 6400 301 NA NA NA NA NA 140 2257 311 NA NA NA NA
1469311200.0 134.707 NA 36 356 0 NA NA NA NA NA 88 429 0 NA NA NA NA NA 132 5051 251 NA NA NA NA NA 134 2055 260 NA NA NA NA
1469311200.0 134.708 NA 35 358 0 NA NA NA NA NA 87 427 0 NA NA NA NA NA 130 5057 279 NA NA NA NA NA 167 2004 289 NA NA NA NA
1469311200.0 134.709 NA 41 373 0 NA NA NA NA NA 89 448 0 NA NA NA NA NA 125 4507 268 NA NA NA NA NA 134 1589 277 NA NA NA NA
1469311200.0 134.71 NA 37 351 0 NA NA NA NA NA 84 419 0 NA NA NA NA NA 124 3883 337 NA NA NA NA NA 119 1531 399 NA NA NA NA
1469311200.0 134.801 NA 43 358 0 NA NA NA NA NA 87 426 0 NA NA NA NA NA 133 4158 285 NA NA NA NA NA 128 1651 294 NA NA NA NA
1469311200.0 134.802 NA 43 360 0 NA NA NA NA NA 89 439 0 NA NA NA NA NA 165 6554 274 NA NA NA NA NA 168 2170 289 NA NA NA NA
1469311200.0 134.803 NA 44 358 0 NA NA NA NA NA 90 432 0 NA NA NA NA NA 176 6134 266 NA NA NA NA NA 202 2068 274 NA NA NA NA
1469311200.0 134.804 NA 35 373 0 NA NA NA NA NA 89 447 0 NA NA NA NA NA 158 6557 284 NA NA NA NA NA 171 2469 292 NA NA NA NA
1469311200.0 134.805 NA 37 366 0 NA NA NA NA NA 91 443 0 NA NA NA NA NA 174 7471 346 NA NA NA NA NA 194 2459 356 NA NA NA NA
1469311200.0 134.806 NA 42 375 0 NA NA NA NA NA 89 445 0 NA NA NA NA NA 194 9713 346 NA NA NA NA NA 188 3054 353 NA NA NA NA
1469311200.0 134.807 NA 80 383 0 NA NA NA NA NA 146 464 0 NA NA NA NA NA 730 8273 411 NA NA NA NA NA 570 3002 419 NA NA NA NA
1469311200.0 134.808 NA 83 385 0 NA NA NA NA NA 146 463 0 NA NA NA NA NA 791 10271 363 NA NA NA NA NA 1497 3405 371 NA NA NA NA
1469311200.0 134.809 NA 41 362 0 NA NA NA NA NA 87 433 0 NA NA NA NA NA 169 5863 422 NA NA NA NA NA 171 2008 434 NA NA NA NA
1469311200.0 134.81 NA 38 363 0 NA NA NA NA NA 88 437 0 NA NA NA NA NA 191 6045 382 NA NA NA NA NA 223 2032 393 NA NA NA NA
1469311200.0 134.811 NA 41 370 0 NA NA NA NA NA 89 441 0 NA NA NA NA NA 168 6414 258 NA NA NA NA NA 166 2161 269 NA NA NA NA
1469311200.0 134.812 NA 35 351 0 NA NA NA NA NA 86 422 0 NA NA NA NA NA 145 3594 269 NA NA NA NA NA 162 1753 278 NA NA NA NA
1469311200.0 134.813 NA 177 58 0 NA NA NA NA NA 257 99 0 NA NA NA NA NA 626 62 90 NA NA NA NA NA 431 67 99 NA NA NA NA
1469311200.0 134.901 NA 41 358 0 NA NA NA NA NA 86 421 0 NA NA NA NA NA 162 4550 371 NA NA NA NA NA 259 2309 396 NA NA NA NA
1469311200.0 134.902 NA 45 356 0 NA NA NA NA NA 91 427 0 NA NA NA NA NA 170 5009 271 NA NA NA NA NA 202 1817 281 NA NA NA NA
1469311200.0 134.903 NA 42 350 0 NA NA NA NA NA 89 422 0 NA NA NA NA NA 143 4866 281 NA NA NA NA NA 145 2120 289 NA NA NA NA
1469311200.0 134.904 NA 40 355 0 NA NA NA NA NA 89 431 0 NA NA NA NA NA 147 4654 271 NA NA NA NA NA 152 1628 282 NA NA NA NA
1469311200.0 134.905 NA 37 355 0 NA NA NA NA NA 91 424 0 NA NA NA NA NA 145 4673 307 NA NA NA NA NA 149 1737 370 NA NA NA NA
1469311200.0 134.906 NA 36 355 0 NA NA NA NA NA 89 427 0 NA NA NA NA NA 146 6227 293 NA NA NA NA NA 153 2196 300 NA NA NA NA
1469311200.0 134.907 NA 79 368 0 NA NA NA NA NA 146 453 0 NA NA NA NA NA 478 5431 283 NA NA NA NA NA 1078 2241 291 NA NA NA NA
1469311200.0 134.908 NA 86 378 0 NA NA NA NA NA 149 453 0 NA NA NA NA NA 421 5706 285 NA NA NA NA NA 399 2167 294 NA NA NA NA
1469311200.0 134.909 NA 42 359 0 NA NA NA NA NA 89 422 0 NA NA NA NA NA 141 5686 278 NA NA NA NA NA 147 2325 288 NA NA NA NA
1469311200.0 134.91 NA 38 351 0 NA NA NA NA NA 89 420 0 NA NA NA NA NA 138 4191 308 NA NA NA NA NA 256 1563 320 NA NA NA NA
1469311200.0 134.911 NA 36 355 0 NA NA NA NA NA 89 425 0 NA NA NA NA NA 145 4443 290 NA NA NA NA NA 161 1701 300 NA NA NA NA
1469311200.0 134.912 NA 39 347 0 NA NA NA NA NA 85 418 0 NA NA NA NA NA 133 3263 295 NA NA NA NA NA 153 1395 312 NA NA NA NA
1469311200.0 134.99601 NA 35 365 0 NA NA NA NA NA 89 439 0 NA NA NA NA NA 183 8210 299 NA NA NA NA NA 209 2657 310 NA NA NA NA
1469311200.0 134.99602 NA 44 351 0 NA NA NA NA NA 89 423 0 NA NA NA NA NA 188 4194 282 NA NA NA NA NA 186 1621 294 NA NA NA NA
1469311200.0 134.99603 NA 36 362 0 NA NA NA NA NA 89 433 0 NA NA NA NA NA 159 5910 363 NA NA NA NA NA 197 2036 372 NA NA NA NA
1469311200.0 134.99901 NA 44 352 0 NA NA NA NA NA 91 422 0 NA NA NA NA NA 140 4781 278 NA NA NA NA NA 156 2112 287 NA NA NA NA
1469311200.0 135.1 383 0 103 NA NA NA NA NA 485 0 161 NA NA NA NA NA 1127 225 241 NA NA NA NA NA 919 231 244 NA NA NA NA NA
1469311200.0 135.11 397 0 109 NA NA NA NA NA 512 0 162 NA NA NA NA NA 1430 254 295 NA NA NA NA NA 811 262 251 NA NA NA NA NA
1469311200.0 135.12 374 0 101 NA NA NA NA NA 478 0 161 NA NA NA NA NA 842 162 174 NA NA NA NA NA 872 168 183 NA NA NA NA NA
1469311200.0 135.2 335 0 107 NA NA NA NA NA 419 0 159 NA NA NA NA NA 611 178 175 NA NA NA NA NA 557 186 203 NA NA NA NA NA
1469311200.0 135.3 335 0 98 NA NA NA NA NA 419 0 160 NA NA NA NA NA 660 138 161 NA NA NA NA NA 603 144 172 NA NA NA NA NA
1469311200.0 135.4 372 0 102 NA NA NA NA NA 476 0 161 NA NA NA NA NA 939 332 201 NA NA NA NA NA 727 340 226 NA NA NA NA NA
1469311200.0 135.5 373 0 100 NA NA NA NA NA 475 0 161 NA NA NA NA NA 769 210 282 NA NA NA NA NA 626 217 287 NA NA NA NA NA
1469311200.0 135.6 380 0 106 NA NA NA NA NA 492 0 161 NA NA NA NA NA 862 205 223 NA NA NA NA NA 647 213 231 NA NA NA NA NA
1469311200.0 135.7 375 0 102 NA NA NA NA NA 478 0 161 NA NA NA NA NA 832 162 164 NA NA NA NA NA 683 171 168 NA NA NA NA NA
