Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470560400.0 10024.1 NA 102 147 0 NA 264 318 0 NA 658 665 433 NA 733 800 444
1470560400.0 10024.5 NA 103 131 0 NA 264 313 0 NA 741 603 398 NA 864 677 408
1470560400.0 120.0 40 74 187 NA 153 228 394 NA 736 510 636 NA 765 543 719 NA
1470560400.0 128.0 41 76 187 NA 148 228 394 NA 690 529 592 NA 707 554 654 NA
1470560400.0 140.2 NA 139 186 0 NA 310 378 0 NA 414 552 396 NA 478 643 439
1470560400.0 4.78 NA 40 205 NA NA 157 403 NA NA 205 691 NA NA 273 778 NA
1470560400.0 5.5 184 0 NA NA 381 0 NA NA 1055 393 NA NA 1124 408 NA NA
1470560400.0 524.0 14 35 0 NA 183 131 0 NA 11 67 16 NA 2783 77 23 NA
1470560400.0 527.0 14 33 0 NA 183 131 0 NA 10 58 18 NA 2765 66 28 NA
1470560400.0 530.0 14 30 0 NA 183 131 0 NA 11 61 16 NA 2816 71 24 NA
1470560400.0 551.0 14 36 0 NA 183 131 0 NA 27 74 16 NA 2325 85 23 NA
1470560400.0 552.0 14 28 0 NA 183 131 0 NA 18 58 16 NA 3419 66 30 NA
