Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470603600.0 1000.0 NA 207 120 0 43 NA NA NA NA 404 269 0 139 NA NA NA NA 3071 621 951 175 NA NA NA NA 3204 1088 1039 270 NA NA NA
1470603600.0 1001.0 NA 182 165 0 0 0 0 0 NA 375 299 0 0 0 0 0 NA 2515 736 15 72 799 36 762 NA 3029 949 26 88 960 57 830
1470603600.0 10024.1 NA 102 141 0 NA NA NA NA NA 263 318 0 NA NA NA NA NA 456 438 318 NA NA NA NA NA 681 502 328 NA NA NA NA
1470603600.0 10024.3 NA 101 137 0 NA NA NA NA NA 264 314 0 NA NA NA NA NA 448 427 291 NA NA NA NA NA 680 464 301 NA NA NA NA
1470603600.0 10024.5 NA 101 133 0 NA NA NA NA NA 263 313 0 NA NA NA NA NA 459 404 296 NA NA NA NA NA 679 451 305 NA NA NA NA
1470603600.0 101.0 77 NA NA NA NA NA NA NA 232 NA NA NA NA NA NA NA 1413 NA NA NA NA NA NA NA 1464 NA NA NA NA NA NA NA
1470603600.0 102.0 78 NA NA NA NA NA NA NA 232 NA NA NA NA NA NA NA 904 NA NA NA NA NA NA NA 1000 NA NA NA NA NA NA NA
1470603600.0 10224.0 NA 136 289 0 NA NA NA NA NA 291 524 0 NA NA NA NA NA 2454 2938 309 NA NA NA NA NA 6836 7007 316 NA NA NA NA
1470603600.0 10225.0 NA 137 293 0 NA NA NA NA NA 296 528 0 NA NA NA NA NA 2581 2554 291 NA NA NA NA NA 10083 9713 299 NA NA NA NA
1470603600.0 103.0 33 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 393 89 191 NA NA NA NA NA 412 124 216 NA NA NA NA NA
1470603600.0 106.0 33 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 411 93 190 NA NA NA NA NA 429 132 217 NA NA NA NA NA
1470603600.0 10624.0 83 79 0 NA NA NA NA NA 200 220 0 NA NA NA NA NA 7980 732 0 NA NA NA NA NA 8134 884 0 NA NA NA NA NA
1470603600.0 10625.0 81 79 0 NA NA NA NA NA 199 214 0 NA NA NA NA NA 7944 1254 0 NA NA NA NA NA 9235 1424 0 NA NA NA NA NA
1470603600.0 10626.0 82 78 0 NA NA NA NA NA 201 214 0 NA NA NA NA NA 17636 1153 0 NA NA NA NA NA 18537 1235 0 NA NA NA NA NA
1470603600.0 108.0 51 73 191 NA NA NA NA NA 165 229 394 NA NA NA NA NA 8071 412 635 NA NA NA NA NA 8255 455 915 NA NA NA NA NA
1470603600.0 10824.0 94 NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA 21872 NA NA NA NA NA NA NA 22841 NA NA NA NA NA NA NA
1470603600.0 10825.0 96 NA NA NA NA NA NA NA 212 NA NA NA NA NA NA NA 16671 NA NA NA NA NA NA NA 17338 NA NA NA NA NA NA NA
1470603600.0 10826.0 101 NA NA NA NA NA NA NA 219 NA NA NA NA NA NA NA 18439 NA NA NA NA NA NA NA 19426 NA NA NA NA NA NA NA
1470603600.0 109.0 52 74 192 NA NA NA NA NA 166 228 394 NA NA NA NA NA 7263 424 611 NA NA NA NA NA 7615 661 788 NA NA NA NA NA
1470603600.0 110.0 41 71 186 NA NA NA NA NA 154 228 394 NA NA NA NA NA 642 354 427 NA NA NA NA NA 667 375 473 NA NA NA NA NA
1470603600.0 1102.0 NA 85 198 102 62 NA NA NA NA 238 399 252 157 NA NA NA NA 2531 2893 1678 138 NA NA NA NA 2822 3267 2231 200 NA NA NA
1470603600.0 11025.0 91 205 0 NA NA NA NA NA 212 344 0 NA NA NA NA NA 16800 4317 0 NA NA NA NA NA 17561 4519 0 NA NA NA NA NA
