Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469916000.0 1.0 50 63 118 NA NA NA NA NA 92 134 170 NA NA NA NA NA 1391 244 215 NA NA NA NA NA 1582 361 747 NA NA NA NA NA
1469916000.0 10.0 NA 83 195 0 NA NA NA NA NA 152 257 0 NA NA NA NA NA 2750 2001 494 NA NA NA NA NA 2859 2022 501 NA NA NA NA
1469916000.0 1001.0 NA 186 175 0 0 0 0 0 NA 246 216 0 0 0 0 0 NA 2218 545 7 63 692 26 845 NA 2284 572 12 67 701 32 863
1469916000.0 1002.0 NA 203 64 NA NA NA NA NA NA 275 97 NA NA NA NA NA NA 1429 118 NA NA NA NA NA NA 3465 228 NA NA NA NA NA
1469916000.0 10021.0 NA 97 220 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 484 864 353 NA NA NA NA NA 972 1635 369 NA NA NA NA
1469916000.0 10023.0 NA 99 215 0 NA NA NA NA NA 175 314 0 NA NA NA NA NA 311 460 282 NA NA NA NA NA 693 899 318 NA NA NA NA
1469916000.0 10024.0 NA 101 224 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 493 646 319 NA NA NA NA NA 547 935 326 NA NA NA NA
1469916000.0 10024.1 NA 102 137 0 NA NA NA NA NA 176 212 0 NA NA NA NA NA 480 419 240 NA NA NA NA NA 539 1321 252 NA NA NA NA
1469916000.0 10024.2 NA 102 230 0 NA NA NA NA NA 175 314 0 NA NA NA NA NA 360 582 287 NA NA NA NA NA 541 990 1729 NA NA NA NA
1469916000.0 10024.3 NA 101 139 0 NA NA NA NA NA 175 207 0 NA NA NA NA NA 365 326 197 NA NA NA NA NA 1065 603 259 NA NA NA NA
1469916000.0 10024.4 NA 101 227 0 NA NA NA NA NA 184 313 0 NA NA NA NA NA 351 545 289 NA NA NA NA NA 2070 1476 345 NA NA NA NA
1469916000.0 10024.5 NA 103 132 0 NA NA NA NA NA 174 208 0 NA NA NA NA NA 346 326 198 NA NA NA NA NA 533 1228 228 NA NA NA NA
1469916000.0 10025.0 NA 105 218 0 NA NA NA NA NA 174 315 0 NA NA NA NA NA 325 527 283 NA NA NA NA NA 1222 3499 498 NA NA NA NA
1469916000.0 10026.0 NA 102 233 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 504 828 312 NA NA NA NA NA 556 882 319 NA NA NA NA
1469916000.0 1003.0 NA 173 0 NA NA NA NA NA NA 236 0 NA NA NA NA NA NA 3207 342 NA NA NA NA NA NA 3945 358 NA NA NA NA NA
1469916000.0 1004.0 NA 176 140 0 0 0 0 NA NA 240 179 0 0 0 0 NA NA 372 186 4 32 276 266 NA NA 1331 463 81 68 376 304 NA
1469916000.0 101.0 77 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 1050 NA NA NA NA NA NA NA 1085 NA NA NA NA NA NA NA
1469916000.0 102.0 78 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 704 NA NA NA NA NA NA NA 770 NA NA NA NA NA NA NA
1469916000.0 10224.0 NA 135 285 0 NA NA NA NA NA 204 389 0 NA NA NA NA NA 2521 3161 387 NA NA NA NA NA 7913 15203 437 NA NA NA NA
1469916000.0 10225.0 NA 140 293 0 NA NA NA NA NA 208 393 0 NA NA NA NA NA 2527 3393 416 NA NA NA NA NA 11420 34284 436 NA NA NA NA
1469916000.0 103.0 34 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 333 74 155 NA NA NA NA NA 359 151 171 NA NA NA NA NA
1469916000.0 105.0 48 71 27 NA NA NA NA NA 92 141 56 NA NA NA NA NA 1364 268 2 NA NA NA NA NA 1616 350 47 NA NA NA NA NA
1469916000.0 106.0 34 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 335 73 145 NA NA NA NA NA 349 126 177 NA NA NA NA NA
1469916000.0 10621.0 77 78 150 0 NA NA NA NA 114 132 195 0 NA NA NA NA 1226 580 667 266 NA NA NA NA 1323 647 771 285 NA NA NA NA
1469916000.0 10624.0 84 85 154 0 NA NA NA NA 129 132 196 0 NA NA NA NA 3793 496 435 246 NA NA NA NA 4060 902 3146 429 NA NA NA NA
1469916000.0 10625.0 82 80 147 0 NA NA NA NA 128 125 193 0 NA NA NA NA 3176 488 382 228 NA NA NA NA 5496 574 2527 469 NA NA NA NA
1469916000.0 10626.0 85 79 150 0 NA NA NA NA 130 126 199 0 NA NA NA NA 12184 788 870 452 NA NA NA NA 12537 889 1012 480 NA NA NA NA
1469916000.0 107.0 49 79 191 NA NA NA NA NA 94 142 256 NA NA NA NA NA 5173 407 544 NA NA NA NA NA 5486 423 566 NA NA NA NA NA
1469916000.0 108.0 50 73 190 NA NA NA NA NA 97 143 256 NA NA NA NA NA 10241 585 869 NA NA NA NA NA 10368 624 906 NA NA NA NA NA
1469916000.0 10821.0 83 NA NA NA NA NA NA NA 125 NA NA NA NA NA NA NA 2456 NA NA NA NA NA NA NA 2974 NA NA NA NA NA NA NA
1469916000.0 10824.0 95 NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA 13677 NA NA NA NA NA NA NA 14389 NA NA NA NA NA NA NA
1469916000.0 10825.0 94 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 11397 NA NA NA NA NA NA NA 12143 NA NA NA NA NA NA NA
1469916000.0 10826.0 99 NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA 18041 NA NA NA NA NA NA NA 24644 NA NA NA NA NA NA NA
1469916000.0 109.0 50 73 192 NA NA NA NA NA 97 142 256 NA NA NA NA NA 10006 586 964 NA NA NA NA NA 10215 606 1030 NA NA NA NA NA
1469916000.0 11.0 NA 79 201 0 59 NA NA NA NA 152 264 0 90 NA NA NA NA 2016 669 387 23 NA NA NA NA 2071 688 394 29 NA NA NA
1469916000.0 110.0 42 76 188 NA NA NA NA NA 85 142 253 NA NA NA NA NA 455 256 267 NA NA NA NA NA 662 382 308 NA NA NA NA NA
1469916000.0 1102.0 NA 83 194 102 62 NA NA NA NA 156 259 155 112 NA NA NA NA 3572 4076 2158 185 NA NA NA NA 3645 4825 2607 199 NA NA NA
1469916000.0 11021.0 82 203 82 NA NA NA NA NA 124 250 121 NA NA NA NA NA 2407 2056 732 NA NA NA NA NA 2471 2106 768 NA NA NA NA NA
1469916000.0 11024.0 94 201 83 NA NA NA NA NA 143 253 124 NA NA NA NA NA 14506 3029 1224 NA NA NA NA NA 16034 12053 1745 NA NA NA NA NA
1469916000.0 11025.0 92 204 80 NA NA NA NA NA 141 253 123 NA NA NA NA NA 11385 3095 1346 NA NA NA NA NA 20453 3204 1438 NA NA NA NA NA
1469916000.0 11026.0 101 208 94 NA NA NA NA NA 147 256 126 NA NA NA NA NA 22039 2120 872 NA NA NA NA NA 22856 2158 898 NA NA NA NA NA
1469916000.0 111.0 48 77 191 NA NA NA NA NA 93 141 255 NA NA NA NA NA 1388 200 308 NA NA NA NA NA 1866 255 1517 NA NA NA NA NA
1469916000.0 112.0 48 76 190 NA NA NA NA NA 94 143 254 NA NA NA NA NA 6641 453 562 NA NA NA NA NA 6810 478 611 NA NA NA NA NA
1469916000.0 11221.0 77 78 149 0 NA NA NA NA 119 132 195 0 NA NA NA NA 1314 613 674 247 NA NA NA NA 1685 673 769 265 NA NA NA NA
1469916000.0 11224.0 88 81 152 0 NA NA NA NA 134 125 197 0 NA NA NA NA 3845 508 454 249 NA NA NA NA 6390 1060 937 294 NA NA NA NA
1469916000.0 11225.0 87 88 148 0 NA NA NA NA 133 126 194 0 NA NA NA NA 3257 492 387 230 NA NA NA NA 3532 725 3903 459 NA NA NA NA
1469916000.0 11226.0 90 81 152 0 NA NA NA NA 135 126 199 0 NA NA NA NA 12387 912 872 412 NA NA NA NA 12623 1012 997 435 NA NA NA NA
1469916000.0 113.0 50 69 190 NA NA NA NA NA 97 143 256 NA NA NA NA NA 9557 648 686 NA NA NA NA NA 9768 721 709 NA NA NA NA NA
1469916000.0 114.0 49 72 190 NA NA NA NA NA 96 143 256 NA NA NA NA NA 8983 616 597 NA NA NA NA NA 9186 662 730 NA NA NA NA NA
1469916000.0 115.0 50 70 195 NA NA NA NA NA 97 142 256 NA NA NA NA NA 9162 656 732 NA NA NA NA NA 9349 698 755 NA NA NA NA NA
1469916000.0 116.0 52 74 199 NA NA NA NA NA 97 143 256 NA NA NA NA NA 6711 383 447 NA NA NA NA NA 6868 398 461 NA NA NA NA NA
1469916000.0 117.0 51 71 191 NA NA NA NA NA 97 142 267 NA NA NA NA NA 11374 564 855 NA NA NA NA NA 11619 584 911 NA NA NA NA NA
1469916000.0 118.0 50 74 195 NA NA NA NA NA 97 143 256 NA NA NA NA NA 10269 553 914 NA NA NA NA NA 12060 1267 954 NA NA NA NA NA
1469916000.0 119.0 47 72 188 NA NA NA NA NA 94 143 254 NA NA NA NA NA 4603 392 502 NA NA NA NA NA 4910 964 572 NA NA NA NA NA
1469916000.0 12.0 NA 80 192 0 NA NA NA NA NA 152 259 0 NA NA NA NA NA 3294 3335 851 NA NA NA NA NA 3471 3515 873 NA NA NA NA
1469916000.0 120.0 41 68 186 NA NA NA NA NA 85 142 254 NA NA NA NA NA 401 288 328 NA NA NA NA NA 420 310 364 NA NA NA NA NA
1469916000.0 121.0 50 73 191 NA NA NA NA NA 97 143 256 NA NA NA NA NA 10341 681 937 NA NA NA NA NA 10528 732 984 NA NA NA NA NA
1469916000.0 122.0 43 77 186 NA NA NA NA NA 91 145 255 NA NA NA NA NA 537 131 257 NA NA NA NA NA 684 218 386 NA NA NA NA NA
1469916000.0 123.1 176 NA NA NA NA NA NA NA 242 NA NA NA NA NA NA NA 597 NA NA NA NA NA NA NA 683 NA NA NA NA NA NA NA
1469916000.0 123.2 179 NA NA NA NA NA NA NA 246 NA NA NA NA NA NA NA 621 NA NA NA NA NA NA NA 701 NA NA NA NA NA NA NA
1469916000.0 123.3 164 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 361 NA NA NA NA NA NA NA 429 NA NA NA NA NA NA NA
1469916000.0 124.1 175 NA NA NA NA NA NA NA 234 NA NA NA NA NA NA NA 335 NA NA NA NA NA NA NA 364 NA NA NA NA NA NA NA
1469916000.0 124.2 176 NA NA NA NA NA NA NA 243 NA NA NA NA NA NA NA 597 NA NA NA NA NA NA NA 662 NA NA NA NA NA NA NA
1469916000.0 124.4 172 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 360 NA NA NA NA NA NA NA 391 NA NA NA NA NA NA NA
1469916000.0 124.5 174 NA NA NA NA NA NA NA 234 NA NA NA NA NA NA NA 362 NA NA NA NA NA NA NA 398 NA NA NA NA NA NA NA
1469916000.0 124.6 165 NA NA NA NA NA NA NA 229 NA NA NA NA NA NA NA 358 NA NA NA NA NA NA NA 389 NA NA NA NA NA NA NA
1469916000.0 125.0 49 72 191 NA NA NA NA NA 94 142 254 NA NA NA NA NA 6780 446 558 NA NA NA NA NA 7174 499 608 NA NA NA NA NA
1469916000.0 126.0 42 68 186 NA NA NA NA NA 86 141 254 NA NA NA NA NA 841 252 292 NA NA NA NA NA 2714 465 450 NA NA NA NA NA
1469916000.0 127.0 40 67 196 NA NA NA NA NA 85 141 254 NA NA NA NA NA 786 254 291 NA NA NA NA NA 882 278 323 NA NA NA NA NA
1469916000.0 128.0 39 69 186 NA NA NA NA NA 80 143 254 NA NA NA NA NA 402 331 342 NA NA NA NA NA 489 352 376 NA NA NA NA NA
1469916000.0 129.0 40 67 188 NA NA NA NA NA 80 141 253 NA NA NA NA NA 377 256 253 NA NA NA NA NA 398 288 276 NA NA NA NA NA
1469916000.0 13.0 NA 73 193 0 NA NA NA NA NA 151 253 0 NA NA NA NA NA 223 523 320 NA NA NA NA NA 517 914 361 NA NA NA NA
1469916000.0 130.0 40 67 188 NA NA NA NA NA 85 141 253 NA NA NA NA NA 451 251 262 NA NA NA NA NA 500 285 306 NA NA NA NA NA
1469916000.0 1301.0 53 132 163 NA NA NA NA NA 101 200 226 NA NA NA NA NA 1475 540 435 NA NA NA NA NA 1818 1264 544 NA NA NA NA NA
1469916000.0 1302.0 58 139 166 NA NA NA NA NA 106 200 228 NA NA NA NA NA 7970 739 539 NA NA NA NA NA 8498 1005 1485 NA NA NA NA NA
1469916000.0 1303.0 58 141 160 NA NA NA NA NA 104 199 228 NA NA NA NA NA 5296 345 578 NA NA NA NA NA 5440 2046 856 NA NA NA NA NA
1469916000.0 1306.0 NA 156 236 0 NA NA NA NA NA 214 315 0 NA NA NA NA NA 676 982 1501 NA NA NA NA NA 782 1075 1523 NA NA NA NA
1469916000.0 1307.0 NA 134 128 47 0 NA NA NA NA 208 202 80 0 NA NA NA NA 531 464 41 446 NA NA NA NA 628 514 68 456 NA NA NA
1469916000.0 1308.0 NA 133 131 48 0 NA NA NA NA 207 201 80 0 NA NA NA NA 353 312 30 351 NA NA NA NA 435 496 391 483 NA NA NA
1469916000.0 1309.0 NA 162 246 0 NA NA NA NA NA 227 316 0 NA NA NA NA NA 654 1096 1758 NA NA NA NA NA 1336 1623 1819 NA NA NA NA
1469916000.0 131.0 43 76 192 NA NA NA NA NA 86 141 254 NA NA NA NA NA 926 245 268 NA NA NA NA NA 989 264 297 NA NA NA NA NA
1469916000.0 1310.0 NA 159 233 0 NA NA NA NA NA 224 316 0 NA NA NA NA NA 897 1596 2164 NA NA NA NA NA 973 1712 2221 NA NA NA NA
1469916000.0 1311.0 NA 157 220 0 67 NA NA NA NA 216 290 0 100 NA NA NA NA 588 953 1642 101 NA NA NA NA 711 1346 1724 159 NA NA NA
1469916000.0 1312.0 NA 162 234 0 NA NA NA NA NA 225 316 0 NA NA NA NA NA 900 1697 2236 NA NA NA NA NA 965 1824 2321 NA NA NA NA
1469916000.0 1313.0 NA 170 247 0 NA NA NA NA NA 232 316 0 NA NA NA NA NA 550 1584 1173 NA NA NA NA NA 588 1625 1208 NA NA NA NA
1469916000.0 1314.0 NA 158 235 0 NA NA NA NA NA 224 316 0 NA NA NA NA NA 710 1192 1637 NA NA NA NA NA 815 1309 1664 NA NA NA NA
