Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470520800.0 1302.0 58 143 165 NA 105 201 228 NA 8012 672 626 NA 8425 779 720 NA
1470520800.0 134.707 NA 37 222 0 NA 87 279 0 NA 160 6172 582 NA 241 6397 685
1470520800.0 134.804 NA 34 235 0 NA 87 291 0 NA 204 8152 539 NA 351 8473 577
1470520800.0 134.806 NA 38 236 0 NA 86 291 0 NA 187 7983 490 NA 220 8285 512
1470520800.0 134.807 NA 79 245 0 NA 145 300 0 NA 671 8172 630 NA 954 8469 657
1470520800.0 134.809 NA 33 225 0 NA 84 281 0 NA 214 7595 602 NA 250 7926 639
1470520800.0 134.811 NA 35 230 0 NA 86 288 0 NA 218 8227 554 NA 308 8550 573
1470520800.0 135.6 223 0 97 NA 302 0 160 NA 1020 330 220 NA 1482 611 499 NA
1470520800.0 1360.0 70 166 242 0 156 215 316 0 3124 515 1045 1766 5232 752 1348 1799
1470520800.0 140.1 NA 138 195 0 NA 197 256 0 NA 384 567 394 NA 429 660 428
1470520800.0 21.0 NA 81 196 0 NA 152 255 0 NA 1783 1125 491 NA 1846 1238 542
1470520800.0 250399.0 127 NA NA NA 219 NA NA NA 1260 NA NA NA 3166 NA NA NA
1470520800.0 25403.0 272 0 100 NA 372 0 160 NA 3941 381 313 NA 4301 402 368 NA
1470520800.0 25406.0 263 0 98 NA 358 0 160 NA 2427 366 234 NA 3526 385 290 NA
1470520800.0 4.23 NA 68 209 0 NA 111 276 0 NA 117 1912 538 NA 213 1999 1007
1470520800.0 4.45 NA 35 217 0 NA 80 274 0 NA 157 7542 549 NA 272 7808 571
1470520800.0 4.55 NA 31 218 0 NA 79 275 0 NA 179 9536 580 NA 291 9903 626
1470520800.0 4.61 NA 32 221 0 NA 79 278 0 NA 161 7392 572 NA 305 7675 625
1470520800.0 4.62 NA 31 217 0 NA 80 273 0 NA 167 7202 582 NA 206 7506 705
1470520800.0 4.63 NA 34 224 0 NA 79 274 0 NA 151 7529 476 NA 243 7879 516
1470520800.0 4.67 NA 50 225 0 NA 95 282 0 NA 153 9321 559 NA 279 9658 581
1470520800.0 4.78 NA 49 198 NA NA 92 270 NA NA 192 678 NA NA 233 786 NA
1470520800.0 4001.0 NA 90 211 NA NA 153 284 NA NA 666 1257 NA NA 1052 1614 NA
1470520800.0 4008.0 44 84 196 NA 90 150 263 NA 1144 270 527 NA 1171 307 590 NA
1470520800.0 5.7 176 0 NA NA 242 0 NA NA 827 355 NA NA 861 365 NA NA
1470520800.0 500206.0 NA 113 234 0 NA 197 304 0 NA 4965 2135 620 NA 6580 2532 637
1470520800.0 500207.0 NA 111 233 0 NA 182 306 0 NA 3666 1647 545 NA 4038 2406 646
1470520800.0 50200.0 NA 103 264 0 NA 163 342 0 NA 1519 2498 600 NA 2170 3894 721
1470520800.0 50206.0 NA 100 263 0 NA 159 341 0 NA 1436 2480 624 NA 2881 3562 662
1470520800.0 50208.0 NA 111 265 0 NA 166 355 0 NA 1465 3389 609 NA 3080 4232 678
1470520800.0 515.0 14 36 0 NA 132 66 0 NA 9 29 16 NA 3279 47 32 NA
1470520800.0 517.0 14 36 0 NA 132 66 0 NA 18 59 16 NA 2797 79 26 NA
1470520800.0 520.0 14 36 0 NA 132 66 0 NA 9 59 16 NA 3136 79 24 NA
1470520800.0 527.0 14 36 0 NA 132 66 0 NA 12 64 15 NA 3029 79 22 NA
1470520800.0 552.0 14 36 0 NA 132 67 0 NA 8 57 13 NA 3019 70 19 NA
