Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470733200.0 1003.0 NA 176 0 NA NA NA 236 0 NA NA NA 3459 365 NA NA NA 3745 406 NA NA
1470733200.0 10225.0 NA 147 294 0 NA NA 211 385 0 NA NA 2577 3616 486 NA NA 11457 25003 2168 NA
1470733200.0 10625.0 83 80 158 0 NA 130 127 195 0 NA 6769 821 643 427 NA 7441 926 994 454 NA
1470733200.0 10626.0 85 79 156 0 NA 131 127 200 0 NA 14731 1359 1211 577 NA 18712 1507 1430 639 NA
1470733200.0 108.0 51 83 190 NA NA 98 143 254 NA NA 9500 715 1160 NA NA 9807 833 1244 NA NA
1470733200.0 10824.0 94 NA NA NA NA 144 NA NA NA NA 20403 NA NA NA NA 24290 NA NA NA NA
1470733200.0 10825.0 96 NA NA NA NA 142 NA NA NA NA 11715 NA NA NA NA 12691 NA NA NA NA
1470733200.0 10826.0 98 NA NA NA NA 148 NA NA NA NA 23555 NA NA NA NA 36251 NA NA NA NA
1470733200.0 109.0 53 73 192 NA NA 98 143 256 NA NA 9877 718 1111 NA NA 10341 774 3141 NA NA
1470733200.0 1102.0 NA 83 198 104 64 NA 152 259 155 113 NA 2630 3012 1668 135 NA 2695 3061 1701 158
1470733200.0 11021.0 84 200 82 NA NA 126 252 123 NA NA 7207 6132 3035 NA NA 7375 6909 3322 NA NA
1470733200.0 11024.0 97 206 84 NA NA 144 254 125 NA NA 14342 3051 1226 NA NA 18432 3635 1490 NA NA
1470733200.0 11025.0 95 202 82 NA NA 142 254 124 NA NA 12187 2977 1197 NA NA 12980 6580 1951 NA NA
1470733200.0 11026.0 102 210 85 NA NA 148 257 127 NA NA 21323 2866 1116 NA NA 28748 3613 1448 NA NA
