Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469782800.0 1.0 72 75 134 NA NA NA NA 155 206 210 NA NA NA NA 2179 297 237 NA NA NA NA 971 216 220 NA NA NA NA
1469782800.0 10.0 NA 109 380 0 NA NA NA NA 226 459 0 NA NA NA NA 4372 3988 735 NA NA NA NA 1542 1916 759 NA NA NA
1469782800.0 1000.0 NA 341 126 0 44 NA NA NA 429 194 0 83 NA NA NA 2469 801 397 128 NA NA NA 1159 666 405 145 NA NA
1469782800.0 1002.0 NA 339 67 NA NA NA NA NA 435 106 NA NA NA NA NA 1709 151 NA NA NA NA NA 789 122 NA NA NA NA
1469782800.0 10021.0 NA 116 402 0 NA NA NA NA 250 527 0 NA NA NA NA 764 1207 281 NA NA NA NA 553 1002 290 NA NA NA
1469782800.0 10023.0 NA 121 399 0 NA NA NA NA 245 524 0 NA NA NA NA 824 1696 436 NA NA NA NA 682 1627 445 NA NA NA
1469782800.0 10024.0 NA 124 406 0 NA NA NA NA 235 526 0 NA NA NA NA 675 1224 330 NA NA NA NA 502 992 351 NA NA NA
1469782800.0 10024.1 NA 122 240 0 NA NA NA NA 249 331 0 NA NA NA NA 418 371 187 NA NA NA NA 326 330 193 NA NA NA
1469782800.0 10024.2 NA 122 406 0 NA NA NA NA 256 530 0 NA NA NA NA 708 1219 321 NA NA NA NA 486 1011 328 NA NA NA
1469782800.0 10024.3 NA 121 225 0 NA NA NA NA 252 334 0 NA NA NA NA 449 373 169 NA NA NA NA 350 329 179 NA NA NA
1469782800.0 10024.5 NA 121 221 0 NA NA NA NA 252 296 0 NA NA NA NA 425 358 174 NA NA NA NA 340 307 184 NA NA NA
1469782800.0 10025.0 NA 120 394 0 NA NA NA NA 244 508 0 NA NA NA NA 790 998 367 NA NA NA NA 583 877 379 NA NA NA
1469782800.0 10026.0 NA 123 404 0 NA NA NA NA 235 544 0 NA NA NA NA 570 1157 350 NA NA NA NA 402 866 370 NA NA NA
1469782800.0 1003.0 NA 276 0 NA NA NA NA NA 363 0 NA NA NA NA NA 2467 197 NA NA NA NA NA 967 216 NA NA NA NA
1469782800.0 1004.0 NA 358 126 0 0 0 0 NA 449 181 0 0 0 0 NA 557 106 4 19 248 202 NA 473 117 11 27 257 208
1469782800.0 101.0 100 NA NA NA NA NA NA 166 NA NA NA NA NA NA 583 NA NA NA NA NA NA 627 NA NA NA NA NA NA
1469782800.0 102.0 101 NA NA NA NA NA NA 166 NA NA NA NA NA NA 578 NA NA NA NA NA NA 602 NA NA NA NA NA NA
1469782800.0 10224.0 NA 197 632 0 NA NA NA NA 350 826 0 NA NA NA NA 2221 3883 264 NA NA NA NA 2658 3542 272 NA NA NA
