Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470520800.0 10021.0 NA 114 372 0 NA 244 536 0 NA 408 908 219 NA 545 739 230
1470520800.0 10024.0 NA 121 384 0 NA 251 537 0 NA 443 855 228 NA 353 1018 239
1470520800.0 10024.2 NA 122 377 0 NA 241 515 0 NA 462 934 247 NA 618 764 288
1470520800.0 10024.4 NA 123 381 0 NA 252 501 0 NA 423 844 225 NA 334 705 237
1470520800.0 10025.0 NA 119 380 0 NA 249 531 0 NA 425 774 222 NA 332 725 247
1470520800.0 10026.0 NA 124 389 0 NA 235 482 0 NA 447 1049 229 NA 355 767 243
1470520800.0 10225.0 NA 220 615 0 NA 376 812 0 NA 3497 5928 390 NA 2757 3616 418
1470520800.0 10626.0 118 102 275 0 185 189 336 0 8449 666 754 228 3413 642 573 239
1470520800.0 107.0 77 98 367 NA 177 178 467 NA 5010 369 510 NA 1731 253 739 NA
1470520800.0 10825.0 132 NA NA NA 209 NA NA NA 20193 NA NA NA 6673 NA NA NA
1470520800.0 11025.0 133 591 106 NA 208 641 160 NA 20379 3342 1175 NA 7017 2023 1180 NA
1470520800.0 111.0 76 93 366 NA 159 193 460 NA 3001 286 508 NA 1140 285 467 NA
1470520800.0 112.0 78 88 363 NA 162 204 465 NA 4822 389 507 NA 1598 340 447 NA
1470520800.0 11224.0 123 108 274 0 191 171 335 0 6874 696 640 254 2756 520 513 269
1470520800.0 11226.0 125 112 291 0 191 171 346 0 11570 943 920 314 4925 701 711 324
1470520800.0 119.0 76 89 367 NA 159 186 467 NA 4358 385 524 NA 1371 266 462 NA
1470520800.0 125.0 76 85 369 NA 158 179 471 NA 4799 356 504 NA 1576 247 465 NA
1470520800.0 1319.0 NA 184 437 0 NA 312 555 0 NA 461 1333 998 NA 596 1354 1012
1470520800.0 132.0 79 91 372 NA 152 184 473 NA 5411 409 689 NA 1718 279 521 NA
1470520800.0 1322.0 NA 191 443 0 NA 310 553 0 NA 438 1422 929 NA 341 1360 943
1470520800.0 1323.0 NA 191 431 0 NA 316 556 0 NA 482 1203 1030 NA 379 1227 1048
1470520800.0 1324.0 NA 208 469 0 NA 340 566 0 NA 1604 3668 2262 NA 1598 3229 2289
1470520800.0 1326.0 NA 199 448 0 NA 336 568 0 NA 647 1939 1194 NA 493 1928 1207
1470520800.0 1327.0 NA 196 442 0 NA 317 572 0 NA 545 1373 1070 NA 578 1366 1089
1470520800.0 1328.0 NA 203 453 0 NA 330 550 0 NA 544 1412 1085 NA 613 1356 1103
1470520800.0 1330.0 NA 203 443 0 NA 309 554 0 NA 1093 3254 2271 NA 807 3063 2289
1470520800.0 1331.0 NA 189 446 0 NA 333 564 0 NA 470 1343 903 NA 347 1286 915
1470520800.0 1332.0 NA 198 447 0 NA 336 556 0 NA 505 1325 900 NA 371 1338 925
1470520800.0 1337.0 NA 216 472 0 NA 337 577 0 NA 849 2455 1261 NA 566 2179 1276
1470520800.0 1338.0 NA 196 461 0 NA 337 576 0 NA 550 1566 956 NA 384 1367 969
1470520800.0 1339.0 NA 209 469 0 NA 311 566 0 NA 1741 4633 1880 NA 1035 3530 1897
1470520800.0 134.71 NA 34 367 0 NA 88 454 0 NA 119 3111 283 NA 113 1328 297
1470520800.0 134.801 NA 36 376 0 NA 93 472 0 NA 122 3395 286 NA 129 1551 303
1470520800.0 134.807 NA 86 404 0 NA 154 513 0 NA 974 8641 423 NA 5252 3394 437
1470520800.0 134.808 NA 80 406 0 NA 158 510 0 NA 630 7007 300 NA 3498 2469 324
1470520800.0 134.907 NA 81 401 0 NA 156 484 0 NA 537 5034 301 NA 3085 2170 311
1470520800.0 134.912 NA 32 361 0 NA 91 482 0 NA 136 2969 300 NA 150 1484 312
1470520800.0 1341.0 NA 211 464 0 NA 345 573 0 NA 1409 4151 2076 NA 875 3401 2096
1470520800.0 1343.0 NA 201 457 0 NA 321 567 0 NA 734 1904 1265 NA 515 1767 1277
1470520800.0 135.1 414 0 108 NA 538 0 175 NA 1225 196 186 NA 875 205 195 NA
1470520800.0 135.4 400 0 113 NA 532 0 175 NA 953 178 160 NA 647 188 190 NA
1470520800.0 135.5 403 0 111 NA 523 0 177 NA 1284 242 217 NA 858 252 246 NA
1470520800.0 135.6 408 0 105 NA 525 0 177 NA 954 218 181 NA 611 228 187 NA
1470520800.0 135.7 406 0 103 NA 526 0 176 NA 927 199 162 NA 592 209 185 NA
1470520800.0 1352.0 NA 190 456 0 NA 346 568 0 NA 482 1587 917 NA 359 1479 935
1470520800.0 1354.0 NA 192 459 0 NA 331 567 0 NA 501 1539 955 NA 368 1442 965
