Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470646800.0 10224.0 NA 203 594 0 NA NA 343 787 0 NA NA 2699 4514 338 NA NA 2692 3585 346 NA
1470646800.0 10624.0 119 106 278 0 NA 186 179 338 0 NA 10334 1494 1509 479 NA 4437 1130 1233 491 NA
1470646800.0 10625.0 113 110 268 0 NA 196 171 332 0 NA 8815 867 745 296 NA 3592 669 672 307 NA
1470646800.0 10824.0 137 NA NA NA NA 204 NA NA NA NA 36604 NA NA NA NA 12826 NA NA NA NA
1470646800.0 10826.0 144 NA NA NA NA 209 NA NA NA NA 29414 NA NA NA NA 10035 NA NA NA NA
1470646800.0 11021.0 98 577 96 NA NA 147 633 145 NA NA 9911 3118 1089 NA NA 4040 1935 1209 NA NA
1470646800.0 11025.0 132 580 99 NA NA 201 636 153 NA NA 20702 3218 1214 NA NA 6922 1947 1180 NA NA
1470646800.0 11026.0 147 584 105 NA NA 209 638 159 NA NA 46069 6395 2704 NA NA 17479 3852 2615 NA NA
1470646800.0 1302.0 89 180 191 NA NA 168 307 291 NA NA 14023 1185 1093 NA NA 4639 832 850 NA NA
1470646800.0 1306.0 NA 185 438 0 NA NA 305 571 0 NA NA 908 3285 1935 NA NA 731 3204 1948 NA
1470646800.0 1309.0 NA 207 468 0 NA NA 325 564 0 NA NA 1080 3288 2077 NA NA 737 3233 2090 NA
1470646800.0 1311.0 NA 180 445 0 70 NA 328 547 0 106 NA 892 2775 1955 193 NA 733 2753 1997 279
1470646800.0 1312.0 NA 201 456 0 NA NA 345 558 0 NA NA 775 2033 1190 NA NA 772 1816 1202 NA
1470646800.0 1313.0 NA 220 465 0 NA NA 321 577 0 NA NA 1102 4476 1918 NA NA 862 3408 1929 NA
1470646800.0 1314.0 NA 196 452 0 NA NA 313 567 0 NA NA 656 1939 1236 NA NA 500 2086 1252 NA
1470646800.0 1316.0 NA 188 445 0 NA NA 324 563 0 NA NA 612 1805 1148 NA NA 491 1742 1160 NA
1470646800.0 1317.0 NA 190 434 0 NA NA 311 564 0 NA NA 902 2745 1861 NA NA 673 2684 1886 NA
1470646800.0 1318.0 NA 183 442 0 NA NA 316 563 0 NA NA 904 2686 1759 NA NA 678 2632 1777 NA
1470646800.0 1319.0 NA 187 441 0 NA NA 290 565 0 NA NA 577 1751 1128 NA NA 478 1747 1150 NA
1470646800.0 1320.0 NA 193 439 0 NA NA 305 549 0 NA NA 973 2941 1884 NA NA 715 2779 1898 NA
1470646800.0 1323.0 NA 185 442 0 NA NA 315 560 0 NA NA 539 1758 1115 NA NA 448 1761 1129 NA
1470646800.0 1324.0 NA 198 468 0 NA NA 333 563 0 NA NA 784 2000 1305 NA NA 526 1783 1317 NA
1470646800.0 1325.0 NA 204 459 0 73 NA 329 567 0 118 NA 739 2041 1150 166 NA 534 1805 1167 224
1470646800.0 1325.2 NA 208 457 0 NA NA 320 561 0 NA NA 1276 3899 1946 NA NA 1229 3388 1960 NA
1470646800.0 1328.0 NA 194 456 0 NA NA 335 554 0 NA NA 684 1888 1205 NA NA 500 1772 1219 NA
1470646800.0 1329.0 NA 190 452 0 NA NA 327 565 0 NA NA 1074 3462 1971 NA NA 760 3317 2007 NA
1470646800.0 1330.0 NA 199 444 0 NA NA 310 574 0 NA NA 820 1850 1197 NA NA 934 1751 1215 NA
1470646800.0 1332.0 NA 190 444 0 NA NA 327 551 0 NA NA 981 2798 1783 NA NA 733 2661 1792 NA
1470646800.0 1333.0 NA 189 457 0 NA NA 322 556 0 NA NA 617 1735 1125 NA NA 490 1703 1135 NA
1470646800.0 1335.0 NA 199 453 0 NA NA 317 561 0 NA NA 646 1827 1253 NA NA 470 1727 1273 NA
1470646800.0 1336.0 NA 208 455 0 NA NA 345 568 0 NA NA 841 3002 1199 NA NA 545 2084 1207 NA
1470646800.0 1337.0 NA 210 465 0 NA NA 351 585 0 NA NA 849 2462 1255 NA NA 560 1920 1287 NA
1470646800.0 1338.0 NA 208 457 0 NA NA 318 574 0 NA NA 728 2054 1257 NA NA 533 1819 1272 NA
1470646800.0 1339.0 NA 216 460 0 NA NA 313 575 0 NA NA 1407 4134 1954 NA NA 1064 3480 1979 NA
1470646800.0 134.807 NA 95 402 0 NA NA 156 515 0 NA NA 852 8845 410 NA NA 2971 3152 421 NA
1470646800.0 134.808 NA 87 408 0 NA NA 157 506 0 NA NA 732 8928 404 NA NA 2242 3639 414 NA
1470646800.0 134.907 NA 86 395 0 NA NA 155 485 0 NA NA 521 5871 389 NA NA 673 2555 399 NA
1470646800.0 134.908 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1470646800.0 1340.0 NA 196 442 0 NA NA 295 553 0 NA NA 899 2717 1817 NA NA 676 2648 1827 NA
1470646800.0 1343.0 NA 203 449 0 NA NA 322 554 0 NA NA 1176 3439 1958 NA NA 786 3051 1972 NA
1470646800.0 1345.0 NA 206 449 0 NA NA 339 565 0 NA NA 1155 3337 1931 NA NA 760 3061 1985 NA
1470646800.0 1347.0 NA 199 450 0 NA NA 344 555 0 NA NA 661 1943 1275 NA NA 492 1833 1289 NA
1470646800.0 135.1 408 0 108 NA NA 540 0 179 NA NA 2127 490 435 NA NA 1300 507 392 NA NA
1470646800.0 135.11 429 0 120 NA NA 553 0 177 NA NA 1775 262 510 NA NA 1061 270 745 NA NA
1470646800.0 135.12 412 0 113 NA NA 525 0 171 NA NA 1273 243 226 NA NA 814 262 272 NA NA
1470646800.0 135.2 358 0 102 NA NA 474 0 175 NA NA 1492 383 374 NA NA 1211 395 435 NA NA
1470646800.0 135.4 409 0 112 NA NA 520 0 170 NA NA 1968 493 385 NA NA 1321 502 400 NA NA
1470646800.0 1350.0 NA 191 447 0 NA NA 332 551 0 NA NA 970 3102 2146 NA NA 719 3005 2164 NA
1470646800.0 1351.0 NA 204 452 0 NA NA 304 542 0 NA NA 637 1912 1207 NA NA 494 2335 1219 NA
1470646800.0 1352.0 NA 194 455 0 NA NA 346 554 0 NA NA 659 1775 1205 NA NA 503 1702 1226 NA
1470646800.0 1354.0 NA 191 456 0 NA NA 345 560 0 NA NA 691 1848 1259 NA NA 505 1722 1276 NA
1470646800.0 1355.0 NA 216 451 0 NA NA 323 568 0 NA NA 1356 3916 2149 NA NA 867 3493 2162 NA
1470646800.0 1356.0 87 204 450 0 112 172 299 570 0 173 7002 656 1836 1199 242 2548 490 1736 1219 273
