Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470520800.0 10624.0 84 78 148 0 129 131 193 0 7361 801 697 412 7612 881 791 426
1470520800.0 10825.0 92 NA NA NA 141 NA NA NA 11190 NA NA NA 12212 NA NA NA
1470520800.0 11025.0 95 204 80 NA 140 250 121 NA 10668 2760 1040 NA 11278 2890 1110 NA
1470520800.0 11026.0 100 204 82 NA 147 255 125 NA 23607 2996 1174 NA 25634 9055 2933 NA
1470520800.0 112.0 47 72 190 NA 93 141 248 NA 5350 333 388 NA 5966 494 414 NA
1470520800.0 11224.0 87 76 146 0 134 131 194 0 6674 731 632 320 6870 921 735 335
1470520800.0 12.0 NA 80 190 0 NA 151 253 0 NA 1831 1930 609 NA 2303 2058 645
1470520800.0 125.0 47 80 184 NA 94 141 248 NA 5295 363 476 NA 5417 473 514 NA
1470520800.0 1302.0 58 141 161 NA 104 197 222 NA 7161 667 526 NA 7357 845 618 NA
1470520800.0 1303.0 60 140 153 NA 104 196 222 NA 9985 487 941 NA 10608 555 1241 NA
1470520800.0 1310.0 NA 156 233 0 NA 221 310 0 NA 566 1009 1536 NA 676 1145 1578
1470520800.0 1313.0 NA 162 234 0 NA 231 310 0 NA 557 1714 1531 NA 1086 1905 1551
1470520800.0 1316.0 NA 156 221 0 NA 215 309 0 NA 584 1023 1646 NA 694 1355 1674
1470520800.0 1328.0 NA 157 231 0 NA 222 310 0 NA 553 939 1637 NA 757 1043 1672
1470520800.0 133.0 51 73 187 NA 98 141 248 NA 7709 430 657 NA 7836 481 716 NA
1470520800.0 1330.0 NA 156 227 0 NA 218 310 0 NA 599 990 1664 NA 719 1164 1689
1470520800.0 1338.0 NA 162 233 0 NA 225 310 0 NA 678 1289 1552 NA 797 1621 1585
1470520800.0 134.702 NA 42 218 0 NA 82 273 0 NA 180 6877 645 NA 204 7424 671
1470520800.0 134.706 NA 46 217 0 NA 85 280 0 NA 188 7277 624 NA 240 8061 639
1470520800.0 134.707 NA 43 218 0 NA 85 273 0 NA 185 6531 581 NA 213 7161 631
1470520800.0 134.801 NA 38 216 0 NA 84 273 0 NA 143 3861 561 NA 187 4002 580
1470520800.0 134.802 NA 36 218 0 NA 87 277 0 NA 180 7291 510 NA 242 7967 549
1470520800.0 134.804 NA 33 228 0 NA 86 285 0 NA 191 7319 506 NA 267 7856 542
1470520800.0 134.805 NA 35 227 0 NA 88 287 0 NA 174 7197 462 NA 199 7426 488
1470520800.0 134.807 NA 79 240 0 NA 141 295 0 NA 585 7136 550 NA 683 7449 571
1470520800.0 134.808 NA 83 240 0 NA 142 297 0 NA 608 7396 530 NA 769 7694 550
1470520800.0 134.811 NA 37 223 0 NA 89 283 0 NA 178 7162 527 NA 232 7863 550
1470520800.0 134.812 NA 34 213 0 NA 83 273 0 NA 144 3812 558 NA 181 3964 579
1470520800.0 134.909 NA 44 216 0 NA 86 273 0 NA 204 6070 611 NA 242 6721 663
1470520800.0 134.99603 NA 34 219 0 NA 86 275 0 NA 181 6387 503 NA 222 6893 537
1470520800.0 1343.0 NA 157 233 0 NA 223 310 0 NA 597 963 1683 NA 688 1377 1772
1470520800.0 1347.0 NA 157 225 0 NA 222 310 0 NA 564 1030 1513 NA 975 1249 1547
1470520800.0 1348.0 NA 156 226 0 NA 215 309 0 NA 549 948 1620 NA 649 1341 1647
1470520800.0 135.9 220 0 93 NA 295 0 154 NA 729 368 202 NA 1178 403 292 NA
1470520800.0 1351.0 NA 156 231 0 NA 219 310 0 NA 527 892 1605 NA 740 993 1661
1470520800.0 1352.0 NA 159 228 0 NA 224 310 0 NA 551 1019 1598 NA 1105 1169 1751
1470520800.0 1354.0 NA 156 232 0 NA 224 310 0 NA 555 956 1538 NA 642 1077 1578
1470520800.0 136.721 NA 158 236 0 NA 217 291 0 NA 3590 8071 1047 NA 4046 8815 1064
1470520800.0 136.7321 NA 152 263 0 NA 220 310 0 NA 2307 6280 1101 NA 2695 8875 1117
1470520800.0 136.735 NA 148 201 0 NA 208 274 0 NA 904 1625 952 NA 1269 2118 972
1470520800.0 1361.0 58 150 227 0 153 208 309 0 5724 636 922 1607 7710 1165 1020 1770
1470520800.0 1362.0 58 163 228 0 153 208 309 0 6569 592 945 1524 9145 685 1307 1547
1470520800.0 1364.0 NA 154 NA NA NA 217 NA NA NA 529 NA NA NA 664 NA NA
1470520800.0 1365.0 NA 159 232 0 NA 221 310 0 NA 525 852 1654 NA 623 1008 1687
1470520800.0 139901.0 NA 158 231 0 NA 220 310 0 NA 552 897 1672 NA 634 1081 1767
1470520800.0 14.0 NA 79 186 0 NA 151 249 0 NA 1846 1580 580 NA 2282 1746 626
1470520800.0 204.0 48 77 195 0 96 148 265 0 7015 593 916 535 7214 1020 1213 558
1470520800.0 250199.0 145 NA NA NA 209 NA NA NA 4776 NA NA NA 7742 NA NA NA
1470520800.0 250200.0 NA 229 271 0 NA 325 351 0 NA 14579 3835 1819 NA 15103 5610 4008
1470520800.0 250204.0 NA 222 267 0 NA 340 346 0 NA 15081 3405 1858 NA 15895 5229 4543
1470520800.0 250206.0 NA 230 262 0 NA 339 344 0 NA 14029 3762 1795 NA 14895 5583 4027
1470520800.0 250405.0 223 0 98 NA 311 0 155 NA 1457 334 317 NA 2561 354 423 NA
