Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469566800.0 1.0 53 72 149 NA NA NA NA NA 101 137 182 NA NA NA NA NA 3201 618 487 NA NA NA NA NA 3239 784 793 NA NA NA NA NA
1469566800.0 10.0 NA 90 228 0 NA NA NA NA NA 160 275 0 NA NA NA NA NA 4891 4085 1073 NA NA NA NA NA 5069 4349 1200 NA NA NA NA
1469566800.0 1000.0 NA 240 162 0 57 NA NA NA NA 295 202 0 84 NA NA NA NA 3923 692 859 173 NA NA NA NA 4165 843 998 196 NA NA NA
1469566800.0 1001.0 NA 212 190 0 0 0 0 0 NA 264 223 0 0 0 0 0 NA 3512 543 10 85 965 49 887 NA 3772 683 114 93 1081 164 1011
1469566800.0 1002.0 NA 237 71 NA NA NA NA NA NA 297 104 NA NA NA NA NA NA 3920 237 NA NA NA NA NA NA 4356 345 NA NA NA NA NA
1469566800.0 10021.0 NA 106 262 0 NA NA NA NA NA 198 329 0 NA NA NA NA NA 770 1673 907 NA NA NA NA NA 1021 2031 945 NA NA NA NA
1469566800.0 10023.0 NA 107 259 0 NA NA NA NA NA 198 329 0 NA NA NA NA NA 714 1132 786 NA NA NA NA NA 968 1340 825 NA NA NA NA
1469566800.0 10024.0 NA 112 266 0 NA NA NA NA NA 198 329 0 NA NA NA NA NA 817 1591 926 NA NA NA NA NA 1075 1945 1085 NA NA NA NA
1469566800.0 10024.1 NA 112 161 0 NA NA NA NA NA 198 215 0 NA NA NA NA NA 820 778 713 NA NA NA NA NA 1093 1078 1157 NA NA NA NA
1469566800.0 10024.2 NA 116 258 0 NA NA NA NA NA 198 329 0 NA NA NA NA NA 821 1520 807 NA NA NA NA NA 1044 1888 849 NA NA NA NA
1469566800.0 10024.3 NA 111 156 0 NA NA NA NA NA 198 211 0 NA NA NA NA NA 822 780 650 NA NA NA NA NA 1173 1145 774 NA NA NA NA
