Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469653200.0 1.0 55 70 147 NA NA NA NA 100 137 180 NA NA NA NA 3161 619 491 NA NA NA NA 3294 799 635 NA NA NA NA
1469653200.0 10.0 NA 91 224 0 NA NA NA NA 159 273 0 NA NA NA NA 4894 4013 1094 NA NA NA NA 5156 4340 1256 NA NA NA
1469653200.0 1000.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1469653200.0 1001.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1469653200.0 1002.0 NA 234 69 NA NA NA NA NA 294 101 NA NA NA NA NA 3888 235 NA NA NA NA NA 4081 241 NA NA NA NA
1469653200.0 10021.0 NA 115 252 0 NA NA NA NA 198 323 0 NA NA NA NA 792 1645 838 NA NA NA NA 1024 2024 873 NA NA NA
1469653200.0 10023.0 NA 109 252 0 NA NA NA NA 198 323 0 NA NA NA NA 732 1050 779 NA NA NA NA 996 1327 816 NA NA NA
1469653200.0 10024.0 NA 111 254 0 NA NA NA NA 198 323 0 NA NA NA NA 836 1569 891 NA NA NA NA 1058 1928 1034 NA NA NA
1469653200.0 10024.1 NA 121 156 0 NA NA NA NA 198 210 0 NA NA NA NA 826 753 709 NA NA NA NA 974 986 852 NA NA NA
1469653200.0 10024.2 NA 110 252 0 NA NA NA NA 198 322 0 NA NA NA NA 835 1618 864 NA NA NA NA 1045 1971 1012 NA NA NA
1469653200.0 10024.3 NA 112 153 0 NA NA NA NA 198 206 0 NA NA NA NA 833 770 639 NA NA NA NA 1619 1131 649 NA NA NA
1469653200.0 10024.4 NA 111 250 0 NA NA NA NA 198 322 0 NA NA NA NA 840 1506 868 NA NA NA NA 984 1853 900 NA NA NA
1469653200.0 10024.5 NA 111 149 0 NA NA NA NA 198 205 0 NA NA NA NA 840 718 644 NA NA NA NA 1085 875 766 NA NA NA
1469653200.0 10025.0 NA 113 252 0 NA NA NA NA 198 323 0 NA NA NA NA 786 1244 814 NA NA NA NA 923 1543 954 NA NA NA
1469653200.0 10026.0 NA 114 261 0 NA NA NA NA 198 323 0 NA NA NA NA 846 1943 902 NA NA NA NA 1191 2319 1154 NA NA NA
1469653200.0 1003.0 NA 198 0 NA NA NA NA NA 259 0 NA NA NA NA NA 5997 638 NA NA NA NA NA 6395 778 NA NA NA NA
1469653200.0 1004.0 NA 199 148 0 0 0 0 NA 254 181 0 0 0 0 NA 957 293 8 89 900 879 NA 1151 448 10 224 1013 1525
1469653200.0 101.0 91 NA NA NA NA NA NA 143 NA NA NA NA NA NA 2262 NA NA NA NA NA NA 2622 NA NA NA NA NA NA
1469653200.0 102.0 89 NA NA NA NA NA NA 143 NA NA NA NA NA NA 1670 NA NA NA NA NA NA 2071 NA NA NA NA NA NA
1469653200.0 10224.0 NA 145 323 0 NA NA NA NA 211 406 0 NA NA NA NA 4320 7497 1018 NA NA NA NA 8558 11237 1049 NA NA NA
1469653200.0 10225.0 NA 145 320 0 NA NA NA NA 210 400 0 NA NA NA NA 4396 7039 1033 NA NA NA NA 12378 13938 1073 NA NA NA
1469653200.0 103.0 40 0 0 NA NA NA NA 77 0 0 NA NA NA NA 790 138 283 NA NA NA NA 802 215 519 NA NA NA NA
1469653200.0 105.0 53 80 38 NA NA NA NA 100 146 58 NA NA NA NA 3295 674 5 NA NA NA NA 3351 844 109 NA NA NA NA
1469653200.0 106.0 41 0 0 NA NA NA NA 77 0 0 NA NA NA NA 787 136 284 NA NA NA NA 907 337 405 NA NA NA NA
1469653200.0 10621.0 80 88 170 0 NA NA NA 115 129 202 0 NA NA NA 2814 1200 1478 522 NA NA NA 2867 1428 1859 727 NA NA NA
1469653200.0 10624.0 87 88 174 0 NA NA NA 134 129 205 0 NA NA NA 10300 1279 1180 782 NA NA NA 10507 1419 1445 792 NA NA NA
1469653200.0 10625.0 88 87 172 0 NA NA NA 141 129 202 0 NA NA NA 8218 1236 958 703 NA NA NA 8413 1447 1126 716 NA NA NA
1469653200.0 10626.0 86 88 171 0 NA NA NA 135 129 207 0 NA NA NA 17157 1277 1290 803 NA NA NA 17305 1479 1526 812 NA NA NA
1469653200.0 107.0 54 91 226 NA NA NA NA 102 146 264 NA NA NA NA 5792 685 823 NA NA NA NA 5945 803 1075 NA NA NA NA
1469653200.0 108.0 55 92 226 NA NA NA NA 104 146 266 NA NA NA NA 9718 747 1074 NA NA NA NA 9888 916 1378 NA NA NA NA
1469653200.0 10821.0 92 NA NA NA NA NA NA 133 NA NA NA NA NA NA 6515 NA NA NA NA NA NA 6705 NA NA NA NA NA NA
1469653200.0 10824.0 100 NA NA NA NA NA NA 147 NA NA NA NA NA NA 23903 NA NA NA NA NA NA 24086 NA NA NA NA NA NA
1469653200.0 10825.0 100 NA NA NA NA NA NA 147 NA NA NA NA NA NA 17631 NA NA NA NA NA NA 17862 NA NA NA NA NA NA
1469653200.0 10826.0 106 NA NA NA NA NA NA 158 NA NA NA NA NA NA 40985 NA NA NA NA NA NA 41132 NA NA NA NA NA NA
1469653200.0 109.0 55 83 222 NA NA NA NA 102 146 267 NA NA NA NA 9355 731 1039 NA NA NA NA 9417 839 1257 NA NA NA NA
1469653200.0 11.0 NA 88 236 0 65 NA NA NA 159 281 0 95 NA NA NA 4107 1566 1071 61 NA NA NA 4335 1894 1199 174 NA NA
1469653200.0 110.0 50 92 219 NA NA NA NA 84 146 264 NA NA NA NA 1194 661 670 NA NA NA NA 1393 827 821 NA NA NA NA
1469653200.0 1102.0 NA 91 225 130 85 NA NA NA 158 273 164 108 NA NA NA 5054 5490 3222 211 NA NA NA 5201 5825 3508 216 NA NA
1469653200.0 11021.0 91 211 90 NA NA NA NA 133 255 128 NA NA NA NA 6694 5963 2273 NA NA NA NA 6906 6112 2471 NA NA NA NA
1469653200.0 11024.0 100 212 94 NA NA NA NA 147 258 130 NA NA NA NA 23566 6041 2382 NA NA NA NA 23795 6247 2482 NA NA NA NA
1469653200.0 11025.0 100 211 93 NA NA NA NA 148 260 129 NA NA NA NA 17681 5981 2349 NA NA NA NA 17905 6103 2477 NA NA NA NA
1469653200.0 11026.0 105 217 95 NA NA NA NA 155 261 133 NA NA NA NA 40686 6089 2449 NA NA NA NA 40966 6335 2705 NA NA NA NA
1469653200.0 111.0 54 84 221 NA NA NA NA 100 146 265 NA NA NA NA 3588 498 732 NA NA NA NA 3736 708 970 NA NA NA NA
1469653200.0 112.0 53 82 219 NA NA NA NA 104 146 265 NA NA NA NA 5813 699 801 NA NA NA NA 5856 908 1060 NA NA NA NA
1469653200.0 11221.0 87 97 170 0 NA NA NA 126 129 203 0 NA NA NA 3058 1206 1502 543 NA NA NA 3233 1450 1717 672 NA NA NA
1469653200.0 11224.0 92 89 174 0 NA NA NA 139 129 206 0 NA NA NA 10813 1286 1136 788 NA NA NA 11059 1409 1449 796 NA NA NA
1469653200.0 11225.0 91 94 169 0 NA NA NA 140 129 202 0 NA NA NA 8154 1247 968 720 NA NA NA 8378 1348 1247 732 NA NA NA
1469653200.0 11226.0 93 93 179 0 NA NA NA 139 129 207 0 NA NA NA 18158 1329 1274 796 NA NA NA 18443 1578 1601 921 NA NA NA
1469653200.0 113.0 55 81 227 NA NA NA NA 105 146 265 NA NA NA NA 7262 712 826 NA NA NA NA 7337 880 964 NA NA NA NA
1469653200.0 114.0 54 92 232 NA NA NA NA 101 146 266 NA NA NA NA 6855 717 860 NA NA NA NA 7016 824 1101 NA NA NA NA
1469653200.0 115.0 55 84 221 NA NA NA NA 103 146 266 NA NA NA NA 7683 736 937 NA NA NA NA 7834 921 1073 NA NA NA NA
1469653200.0 116.0 55 94 219 NA NA NA NA 101 146 266 NA NA NA NA 8194 722 939 NA NA NA NA 8369 893 1254 NA NA NA NA
1469653200.0 117.0 57 82 222 NA NA NA NA 105 146 267 NA NA NA NA 10054 738 1012 NA NA NA NA 10132 905 1254 NA NA NA NA
1469653200.0 118.0 55 94 222 NA NA NA NA 102 146 268 NA NA NA NA 9846 753 1077 NA NA NA NA 10014 936 1378 NA NA NA NA
1469653200.0 12.0 NA 88 223 0 NA NA NA NA 159 272 0 NA NA NA NA 4601 4392 1144 NA NA NA NA 4829 4673 1281 NA NA NA
1469653200.0 120.0 50 79 217 NA NA NA NA 88 146 264 NA NA NA NA 1000 639 644 NA NA NA NA 1015 798 879 NA NA NA NA
1469653200.0 121.0 55 83 222 NA NA NA NA 109 146 268 NA NA NA NA 9936 757 1117 NA NA NA NA 10126 924 1422 NA NA NA NA
1469653200.0 122.0 50 81 217 NA NA NA NA 93 146 264 NA NA NA NA 1337 326 606 NA NA NA NA 1520 493 747 NA NA NA NA
1469653200.0 123.1 212 NA NA NA NA NA NA 256 NA NA NA NA NA NA 1013 NA NA NA NA NA NA 1264 NA NA NA NA NA NA
1469653200.0 123.2 214 NA NA NA NA NA NA 260 NA NA NA NA NA NA 1326 NA NA NA NA NA NA 1636 NA NA NA NA NA NA
1469653200.0 123.3 197 NA NA NA NA NA NA 241 NA NA NA NA NA NA 783 NA NA NA NA NA NA 1330 NA NA NA NA NA NA
1469653200.0 124.1 210 NA NA NA NA NA NA 246 NA NA NA NA NA NA 772 NA NA NA NA NA NA 1008 NA NA NA NA NA NA
1469653200.0 124.2 213 NA NA NA NA NA NA 256 NA NA NA NA NA NA 954 NA NA NA NA NA NA 1203 NA NA NA NA NA NA
1469653200.0 124.4 209 NA NA NA NA NA NA 246 NA NA NA NA NA NA 770 NA NA NA NA NA NA 1000 NA NA NA NA NA NA
1469653200.0 124.5 204 NA NA NA NA NA NA 246 NA NA NA NA NA NA 799 NA NA NA NA NA NA 1041 NA NA NA NA NA NA
1469653200.0 124.6 197 NA NA NA NA NA NA 241 NA NA NA NA NA NA 788 NA NA NA NA NA NA 1331 NA NA NA NA NA NA
1469653200.0 125.0 54 84 221 NA NA NA NA 101 146 265 NA NA NA NA 6268 696 794 NA NA NA NA 6350 914 1109 NA NA NA NA
1469653200.0 126.0 48 78 220 NA NA NA NA 91 146 264 NA NA NA NA 2708 644 666 NA NA NA NA 2830 802 906 NA NA NA NA
1469653200.0 127.0 50 78 218 NA NA NA NA 89 146 264 NA NA NA NA 2529 647 692 NA NA NA NA 2660 804 938 NA NA NA NA
1469653200.0 128.0 48 92 218 NA NA NA NA 83 146 264 NA NA NA NA 900 654 644 NA NA NA NA 920 823 963 NA NA NA NA
1469653200.0 129.0 49 78 218 NA NA NA NA 83 146 264 NA NA NA NA 952 631 638 NA NA NA NA 1061 834 875 NA NA NA NA
1469653200.0 13.0 NA 87 220 0 NA NA NA NA 159 266 0 NA NA NA NA 494 1610 875 NA NA NA NA 610 1864 903 NA NA NA
1469653200.0 130.0 50 78 220 NA NA NA NA 84 146 264 NA NA NA NA 1161 628 669 NA NA NA NA 1400 856 846 NA NA NA NA
1469653200.0 1301.0 62 150 191 NA NA NA NA 106 206 240 NA NA NA NA 1917 852 658 NA NA NA NA 1987 1119 952 NA NA NA NA
1469653200.0 1302.0 65 162 194 NA NA NA NA 111 206 241 NA NA NA NA 10745 1071 1003 NA NA NA NA 10875 1332 1282 NA NA NA NA
1469653200.0 1303.0 64 165 203 NA NA NA NA 110 206 242 NA NA NA NA 17995 833 1645 NA NA NA NA 18119 1004 1989 NA NA NA NA
1469653200.0 1306.0 NA 174 265 0 NA NA NA NA 225 327 0 NA NA NA NA 873 1289 2610 NA NA NA NA 1103 1577 2749 NA NA NA
1469653200.0 1307.0 NA 149 152 58 0 NA NA NA 218 209 86 0 NA NA NA 872 920 71 1138 NA NA NA 1209 1041 194 1321 NA NA
1469653200.0 1308.0 NA 152 151 62 0 NA NA NA 219 209 86 0 NA NA NA 836 848 72 1175 NA NA NA 1080 1167 83 1355 NA NA
1469653200.0 1309.0 NA 190 273 0 NA NA NA NA 236 327 0 NA NA NA NA 1157 1859 2816 NA NA NA NA 1399 2042 2974 NA NA NA
1469653200.0 131.0 49 82 218 NA NA NA NA 84 146 264 NA NA NA NA 2761 652 693 NA NA NA NA 2883 825 930 NA NA NA NA
1469653200.0 1310.0 NA 180 273 0 NA NA NA NA 231 327 0 NA NA NA NA 1102 1694 2736 NA NA NA NA 1405 1885 2888 NA NA NA
1469653200.0 1311.0 NA 184 255 0 71 NA NA NA 225 299 0 105 NA NA NA 865 1299 2684 130 NA NA NA 1124 1749 2834 292 NA NA
1469653200.0 1312.0 NA 176 270 0 NA NA NA NA 234 327 0 NA NA NA NA 1126 1832 2690 NA NA NA NA 1323 2200 2835 NA NA NA
1469653200.0 1313.0 NA 183 278 0 NA NA NA NA 240 328 0 NA NA NA NA 1042 2933 2776 NA NA NA NA 1324 3122 2826 NA NA NA
1469653200.0 1314.0 NA 181 272 0 NA NA NA NA 233 327 0 NA NA NA NA 1034 1615 2795 NA NA NA NA 1315 1813 2831 NA NA NA
1469653200.0 1315.0 NA 176 267 0 NA NA NA NA 225 327 0 NA NA NA NA 910 1378 2572 NA NA NA NA 1023 1570 2721 NA NA NA
1469653200.0 1316.0 NA 186 269 0 NA NA NA NA 227 327 0 NA NA NA NA 955 1427 2601 NA NA NA NA 1120 1602 2646 NA NA NA
1469653200.0 1317.0 NA 182 264 0 NA NA NA NA 225 327 0 NA NA NA NA 924 1419 2612 NA NA NA NA 1200 1724 2756 NA NA NA
1469653200.0 1318.0 NA 178 269 0 NA NA NA NA 224 327 0 NA NA NA NA 883 1310 2583 NA NA NA NA 1050 1612 2736 NA NA NA
1469653200.0 1319.0 NA 179 268 0 NA NA NA NA 225 327 0 NA NA NA NA 902 1385 2589 NA NA NA NA 1128 1561 2739 NA NA NA
1469653200.0 132.0 52 82 222 NA NA NA NA 98 146 264 NA NA NA NA 4916 680 814 NA NA NA NA 4966 898 1044 NA NA NA NA
1469653200.0 1320.0 NA 183 268 0 NA NA NA NA 225 327 0 NA NA NA NA 949 1430 2614 NA NA NA NA 1115 1733 2641 NA NA NA
1469653200.0 1321.0 NA 174 268 0 NA NA NA NA 225 327 0 NA NA NA NA 958 1426 2607 NA NA NA NA 1191 1670 2748 NA NA NA
1469653200.0 1322.0 NA 174 269 0 NA NA NA NA 225 327 0 NA NA NA NA 969 1493 2712 NA NA NA NA 1090 1856 2860 NA NA NA
1469653200.0 1323.0 NA 182 264 0 NA NA NA NA 224 326 0 NA NA NA NA 851 1304 2678 NA NA NA NA 1105 1486 2721 NA NA NA
1469653200.0 1324.0 NA 191 279 0 NA NA NA NA 236 328 0 NA NA NA NA 1185 1835 2816 NA NA NA NA 1426 2180 2862 NA NA NA
1469653200.0 1325.0 NA 184 279 0 86 NA NA NA 237 328 0 113 NA NA NA 1253 1939 2807 196 NA NA NA 1510 2194 2855 240 NA NA
1469653200.0 1325.1 NA 181 152 0 NA NA NA NA 237 189 0 NA NA NA NA 1219 662 625 NA NA NA NA 1459 889 815 NA NA NA
1469653200.0 1325.2 NA 182 277 0 NA NA NA NA 237 327 0 NA NA NA NA 1223 1875 2824 NA NA NA NA 1513 2235 2968 NA NA NA
