Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470560400.0 10224.0 NA 145 306 0 NA NA 207 391 0 NA NA 4254 6548 973 NA NA 8602 10624 1012 NA
1470560400.0 10225.0 NA 151 318 0 NA NA 213 399 0 NA NA 4375 6759 945 NA NA 12900 14211 983 NA
1470560400.0 10624.0 88 101 175 0 NA 134 128 205 0 NA 10294 1296 1184 797 NA 10506 1498 1459 928 NA
1470560400.0 10626.0 89 89 172 0 NA 134 128 207 0 NA 17383 1293 1280 811 NA 17472 1397 1504 819 NA
1470560400.0 10824.0 102 NA NA NA NA 148 NA NA NA NA 23882 NA NA NA NA 24162 NA NA NA NA
1470560400.0 10825.0 100 NA NA NA NA 146 NA NA NA NA 17928 NA NA NA NA 18058 NA NA NA NA
1470560400.0 10826.0 105 NA NA NA NA 156 NA NA NA NA 40521 NA NA NA NA 40776 NA NA NA NA
1470560400.0 1102.0 NA 104 222 129 88 NA 160 272 164 108 NA 5067 5481 3152 209 NA 5246 5716 3430 217
1470560400.0 11021.0 95 211 91 NA NA 133 255 127 NA NA 6448 5967 2276 NA NA 6499 6172 2537 NA NA
1470560400.0 11024.0 100 227 94 NA NA 148 258 130 NA NA 23422 6106 2312 NA NA 23664 6230 2487 NA NA
1470560400.0 11025.0 101 226 93 NA NA 148 260 129 NA NA 17491 5903 2272 NA NA 17614 5971 2467 NA NA
1470560400.0 11026.0 105 214 103 NA NA 157 261 133 NA NA 40657 6075 2346 NA NA 40919 6233 2434 NA NA
1470560400.0 11224.0 95 90 172 0 NA 139 128 205 0 NA 11082 1300 1148 780 NA 11188 1423 1356 794 NA
1470560400.0 11226.0 94 99 171 0 NA 139 128 208 0 NA 18332 1320 1274 794 NA 18566 1524 1610 804 NA
1470560400.0 1302.0 65 159 193 NA NA 111 206 241 NA NA 10606 1070 1018 NA NA 10803 1244 1310 NA NA
1470560400.0 1303.0 64 162 191 NA NA 110 206 242 NA NA 17989 859 1576 NA NA 18237 1146 1964 NA NA
1470560400.0 133.0 57 97 226 NA NA 104 146 270 NA NA 12288 758 1395 NA NA 12372 836 1697 NA NA
1470560400.0 134.702 NA 49 252 0 NA NA 93 294 0 NA NA 250 11957 931 NA NA 333 12209 964 NA
1470560400.0 134.703 NA 50 263 0 NA NA 91 308 0 NA NA 255 11762 981 NA NA 299 12053 1151 NA
1470560400.0 134.704 NA 45 251 0 NA NA 90 297 0 NA NA 244 11091 914 NA NA 354 11467 967 NA
1470560400.0 134.705 NA 53 261 0 NA NA 94 307 0 NA NA 244 12423 938 NA NA 279 12840 981 NA
1470560400.0 134.706 NA 53 258 0 NA NA 94 306 0 NA NA 258 12895 982 NA NA 353 13172 1026 NA
1470560400.0 134.709 NA 57 258 0 NA NA 95 315 0 NA NA 247 11907 949 NA NA 345 12290 1090 NA
1470560400.0 134.802 NA 56 250 0 NA NA 93 300 0 NA NA 304 15681 938 NA NA 329 16005 983 NA
1470560400.0 134.803 NA 48 250 0 NA NA 93 298 0 NA NA 318 13518 918 NA NA 357 13866 1060 NA
1470560400.0 134.804 NA 48 262 0 NA NA 94 308 0 NA NA 311 15459 942 NA NA 429 15812 978 NA
1470560400.0 134.805 NA 50 258 0 NA NA 97 311 0 NA NA 305 15121 964 NA NA 322 15495 1098 NA
1470560400.0 134.806 NA 53 263 0 NA NA 93 306 0 NA NA 316 17016 932 NA NA 433 17342 964 NA
1470560400.0 134.807 NA 105 271 0 NA NA 145 321 0 NA NA 1015 15139 1039 NA NA 1242 15402 1219 NA
1470560400.0 134.808 NA 111 272 0 NA NA 144 322 0 NA NA 1006 15837 1011 NA NA 1156 16243 1153 NA
1470560400.0 134.809 NA 55 251 0 NA NA 92 297 0 NA NA 314 14022 935 NA NA 412 14440 1069 NA
1470560400.0 134.81 NA 52 256 0 NA NA 94 298 0 NA NA 310 14287 967 NA NA 421 14576 1107 NA
1470560400.0 134.811 NA 53 257 0 NA NA 94 305 0 NA NA 304 15219 915 NA NA 411 15514 1135 NA
1470560400.0 134.904 NA 45 261 0 NA NA 93 300 0 NA NA 287 11976 878 NA NA 383 12511 917 NA
1470560400.0 134.908 NA 114 267 0 NA NA 147 314 0 NA NA 818 10544 991 NA NA 919 10857 1133 NA
1470560400.0 134.909 NA 47 247 0 NA NA 96 292 0 NA NA 258 10282 909 NA NA 351 10580 945 NA
1470560400.0 134.99601 NA 48 253 0 NA NA 94 299 0 NA NA 319 17269 940 NA NA 343 17675 1080 NA
1470560400.0 134.99603 NA 57 250 0 NA NA 93 299 0 NA NA 308 13558 935 NA NA 398 13946 1072 NA
1470560400.0 134.99901 NA 54 248 0 NA NA 94 294 0 NA NA 267 9383 919 NA NA 358 9848 964 NA
1470560400.0 135.1 264 0 116 NA NA 315 0 167 NA NA 1449 651 364 NA NA 1781 775 614 NA NA
1470560400.0 135.11 275 0 129 NA NA 327 0 167 NA NA 2459 651 546 NA NA 2822 773 625 NA NA
1470560400.0 135.12 265 0 116 NA NA 313 0 167 NA NA 1309 580 342 NA NA 1590 591 494 NA NA
1470560400.0 135.3 257 0 115 NA NA 293 0 166 NA NA 1056 508 306 NA NA 1354 619 549 NA NA
1470560400.0 135.4 260 0 116 NA NA 312 0 166 NA NA 1318 612 333 NA NA 1543 735 418 NA NA
1470560400.0 135.5 259 0 116 NA NA 311 0 167 NA NA 1176 567 329 NA NA 1460 680 484 NA NA
1470560400.0 135.6 269 0 117 NA NA 315 0 167 NA NA 1408 596 359 NA NA 1644 714 492 NA NA
1470560400.0 135.7 274 0 116 NA NA 311 0 167 NA NA 1208 556 328 NA NA 1560 669 522 NA NA
1470560400.0 1356.0 63 188 284 0 121 112 218 328 0 172 7926 1093 1694 2776 367 8039 1362 2091 2814 547
1470560400.0 136.721 NA 175 274 0 NA NA 230 315 0 NA NA 6851 16144 1833 NA NA 7107 16549 1967 NA
1470560400.0 136.722 NA 184 294 0 NA NA 238 341 0 NA NA 7942 18397 1902 NA NA 8182 18669 1931 NA
1470560400.0 136.723 NA 173 271 0 NA NA 232 317 0 NA NA 7600 17859 1869 NA NA 7759 18115 1905 NA
1470560400.0 136.724 NA 187 290 0 NA NA 238 322 0 NA NA 8793 21733 1970 NA NA 8962 21983 2113 NA
1470560400.0 136.725 NA 175 281 0 NA NA 234 317 0 NA NA 7524 18298 1801 NA NA 7699 18585 1838 NA
1470560400.0 136.726 NA 170 274 0 NA NA 235 320 0 NA NA 8430 18858 1938 NA NA 8714 19192 2079 NA
1470560400.0 136.727 NA 227 288 0 NA NA 282 332 0 NA NA 7703 17233 1892 NA NA 8034 17650 1926 NA
1470560400.0 136.728 NA 218 281 0 NA NA 271 328 0 NA NA 8279 18920 1966 NA NA 8796 19469 2104 NA
1470560400.0 136.729 NA 176 272 0 NA NA 229 316 0 NA NA 7212 18515 1846 NA NA 7604 18893 1989 NA
1470560400.0 136.73 NA 174 306 0 NA NA 231 343 0 NA NA 7854 18397 1840 NA NA 8115 18633 1871 NA
1470560400.0 136.731 NA 182 276 0 NA NA 234 320 0 NA NA 8141 18473 1885 NA NA 8396 18725 2036 NA
1470560400.0 136.732 NA 168 267 0 NA NA 233 311 0 NA NA 4078 12533 1894 NA NA 4273 12852 1933 NA
1470560400.0 136.7321 NA 172 298 0 NA NA 234 336 0 NA NA 4131 12717 1881 NA NA 4393 12963 2038 NA
1470560400.0 136.734 NA 183 269 0 NA NA 235 319 0 NA NA 7791 18194 1871 NA NA 8040 18611 1906 NA
1470560400.0 13992501.0 NA 214 339 0 NA NA 286 417 0 NA NA 5736 7986 2910 NA NA 8797 12474 2948 NA
1470560400.0 13992502.0 NA 233 342 0 NA NA 294 422 0 NA NA 5675 6994 2924 NA NA 8803 9501 2958 NA
1470560400.0 145.0 NA 233 291 0 NA NA 324 510 0 NA NA 6206 7029 438 NA NA 6386 7249 578 NA
1470560400.0 204.0 55 110 235 0 NA 101 157 298 0 NA 9276 1323 2464 1005 NA 9454 1767 2959 1039 NA
1470560400.0 250200.0 NA 245 308 0 NA NA 304 366 0 NA NA 25380 6847 2994 NA NA 26182 7077 3142 NA
1470560400.0 250200.1 63 218 216 NA NA 111 287 253 NA NA 8052 3277 3418 NA NA 8296 3658 3671 NA NA
1470560400.0 250202.0 NA 251 320 0 NA NA 306 383 0 NA NA 28817 7885 2989 NA NA 29945 8281 3023 NA
1470560400.0 250203.0 NA 245 304 0 NA NA 300 365 0 NA NA 27336 6097 2889 NA NA 29865 6414 3056 NA
1470560400.0 250204.0 NA 243 304 0 NA NA 302 362 0 NA NA 26444 6004 2911 NA NA 27142 6382 2953 NA
1470560400.0 250206.0 NA 248 305 0 NA NA 298 361 0 NA NA 24653 6477 2960 NA NA 25708 6860 2996 NA
1470560400.0 250207.0 NA 219 311 0 NA NA 289 358 0 NA NA 20897 4881 2926 NA NA 23539 5233 3067 NA
1470560400.0 250400.0 274 0 121 NA NA 329 0 169 NA NA 2410 593 596 NA NA 2749 706 729 NA NA
1470560400.0 250402.0 268 0 115 NA NA 329 0 168 NA NA 2392 611 565 NA NA 2696 630 766 NA NA
1470560400.0 250403.0 265 0 118 NA NA 329 0 168 NA NA 2138 531 520 NA NA 2449 541 665 NA NA
1470560400.0 250405.0 266 0 125 NA NA 326 0 168 NA NA 2092 554 515 NA NA 2441 665 601 NA NA
1470560400.0 250406.0 261 0 117 NA NA 324 0 168 NA NA 1472 540 418 NA NA 1815 663 657 NA NA
