Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470085200.0 1.0 47 72 121 NA NA NA NA NA 93 134 170 NA NA NA NA NA 1392 262 208 NA NA NA NA NA 1985 840 432 NA NA NA NA NA
1470085200.0 10.0 NA 86 195 0 NA NA NA NA NA 151 256 0 NA NA NA NA NA 2984 2571 692 NA NA NA NA NA 3299 2732 713 NA NA NA NA
1470085200.0 1000.0 NA 207 125 0 38 NA NA NA NA 273 182 0 78 NA NA NA NA 2269 464 547 134 NA NA NA NA 2346 545 563 184 NA NA NA
1470085200.0 1001.0 NA 183 166 0 0 0 0 0 NA 244 215 0 0 0 0 0 NA 2191 609 9 73 591 23 517 NA 2252 690 15 78 596 39 526
1470085200.0 1002.0 NA 207 58 NA NA NA NA NA NA 276 98 NA NA NA NA NA NA 1460 120 NA NA NA NA NA NA 2212 207 NA NA NA NA NA
1470085200.0 10021.0 NA 104 216 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 339 599 294 NA NA NA NA NA 711 906 337 NA NA NA NA
1470085200.0 10023.0 NA 99 212 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 315 447 289 NA NA NA NA NA 372 780 447 NA NA NA NA
1470085200.0 10024.0 NA 110 220 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 522 1031 553 NA NA NA NA NA 698 1179 597 NA NA NA NA
1470085200.0 10024.1 NA 113 139 0 NA NA NA NA NA 175 212 0 NA NA NA NA NA 349 310 286 NA NA NA NA NA 381 366 295 NA NA NA NA
1470085200.0 10024.2 NA 103 224 0 NA NA NA NA NA 175 314 0 NA NA NA NA NA 364 569 322 NA NA NA NA NA 502 643 337 NA NA NA NA
1470085200.0 10024.3 NA 108 138 0 NA NA NA NA NA 175 207 0 NA NA NA NA NA 359 309 259 NA NA NA NA NA 392 357 276 NA NA NA NA
1470085200.0 10024.4 NA 110 218 0 NA NA NA NA NA 175 314 0 NA NA NA NA NA 530 976 566 NA NA NA NA NA 699 1257 602 NA NA NA NA
1470085200.0 10024.5 NA 108 132 0 NA NA NA NA NA 175 207 0 NA NA NA NA NA 360 302 264 NA NA NA NA NA 411 381 271 NA NA NA NA
1470085200.0 10025.0 NA 103 217 0 NA NA NA NA NA 175 316 0 NA NA NA NA NA 341 507 312 NA NA NA NA NA 386 955 378 NA NA NA NA
1470085200.0 10026.0 NA 102 234 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 576 1181 657 NA NA NA NA NA 802 1280 672 NA NA NA NA
1470085200.0 1003.0 NA 174 0 NA NA NA NA NA NA 235 0 NA NA NA NA NA NA 3607 437 NA NA NA NA NA NA 4313 536 NA NA NA NA NA
1470085200.0 1004.0 NA 180 130 0 0 0 0 NA NA 240 179 0 0 0 0 NA NA 384 149 4 33 268 263 NA NA 682 333 17 39 274 268 NA
1470085200.0 101.0 78 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 1703 NA NA NA NA NA NA NA 1747 NA NA NA NA NA NA NA
1470085200.0 102.0 79 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 1131 NA NA NA NA NA NA NA 1166 NA NA NA NA NA NA NA
1470085200.0 10224.0 NA 141 276 0 NA NA NA NA NA 202 389 0 NA NA NA NA NA 2061 2616 387 NA NA NA NA NA 6818 14308 400 NA NA NA NA
1470085200.0 10225.0 NA 137 288 0 NA NA NA NA NA 207 389 0 NA NA NA NA NA 2837 4450 615 NA NA NA NA NA 12041 16947 631 NA NA NA NA
1470085200.0 103.0 34 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 562 102 250 NA NA NA NA NA 577 116 279 NA NA NA NA NA
1470085200.0 105.0 47 71 27 NA NA NA NA NA 93 142 56 NA NA NA NA NA 1387 273 2 NA NA NA NA NA 1553 293 4 NA NA NA NA NA
1470085200.0 106.0 34 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 561 128 237 NA NA NA NA NA 580 145 263 NA NA NA NA NA
